DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Zarcero           ,21101,38640,49,48,97,0,0,0,0,0,0,0,0,0,4,1,3,93,48,45,4,1,3,0,0,0,0,0,0,0,0,0,0,4,1,3,97,3.883495145,93,48,45,4,1,3,2,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,97,11.111111111,20,10,10,6,2,4,71,37,34,26,12,14,97,22.807017543,0,0,0,46,32,14,36,8,28,0.0,108.8819,6,0,0,0,1,1,0,0,0,0,4,0,10,3,0,0,1,1,1,0,0,0,0,1,1,1,0,0,3,0,4,6,1,0,0,0,0,0,0,1,0,0,22.123659738540997,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,84.54841841226882,13.787039347224933,Bajo-medio
Zarcero           ,21101,38693,69,71,140,0,0,0,0,0,0,0,0,0,1,0,1,92,45,47,1,0,1,0,0,0,0,0,0,0,0,0,47,1,0,1,140,0.970873786,104,53,51,36,16,20,7,3,4,3,2,1,12,4,8,13,5,8,5,1,4,1,1,0,9,5,4,140,100.0,20,10,10,54,27,27,66,32,34,74,37,37,140,64.912280701,0,0,0,36,26,10,88,35,53,0.0,98.3954,3,0,0,0,6,2,0,1,0,0,1,0,7,3,1,0,1,1,0,0,2,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,12.110549548973195,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,202.61683891070103,55.73517133640258,Alto-medio
Zarcero           ,21101,38720,21,26,47,0,0,0,4,2,2,0,0,0,3,0,3,40,19,21,7,2,5,0,0,0,0,0,0,0,0,0,0,7,2,5,47,6.796116504,41,17,24,6,4,2,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,47,16.666666666,11,6,5,13,4,9,23,11,12,24,10,14,47,21.052631578,0,0,0,14,10,4,27,8,19,0.0,152.3601,0,0,0,0,4,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.63913272228837,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,132.77768234501622,30.922252308074505,Medio
Zarcero           ,21101,38810,80,58,138,8,6,2,4,3,1,0,0,0,4,1,3,122,70,52,16,10,6,0,0,0,0,0,0,0,0,0,0,16,10,6,138,15.533980582,131,78,53,7,2,5,4,1,3,1,0,1,0,0,0,3,1,2,1,0,1,0,0,0,0,0,0,138,19.444444444,38,27,11,11,5,6,89,48,41,49,32,17,138,42.98245614,0,0,0,49,34,15,59,24,35,0.0,102.0239,5,0,0,0,6,0,1,0,0,0,1,0,10,4,2,0,3,2,1,0,0,0,0,0,0,0,0,1,0,1,1,4,2,2,1,0,1,1,0,0,0,0,15.575248955147492,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,118.1592649958753,25.728523977959426,Medio
Zarcero           ,21101,38945,29,24,53,2,2,0,0,0,0,5,2,3,9,5,4,39,22,17,12,5,7,2,2,0,0,0,0,0,0,0,0,14,7,7,53,13.592233009,48,24,24,5,5,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,53,13.888888888,13,8,5,5,4,1,35,17,18,18,12,6,53,15.789473684,0,0,0,18,14,4,24,7,17,0.0,133.3202,3,2,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,45.45874682629333,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,113.35247728202116,24.020736539002463,Medio
Zarcero           ,21101,39206,36,35,71,0,0,0,0,0,0,4,2,2,2,0,2,65,34,31,6,2,4,0,0,0,0,0,0,0,0,0,0,6,2,4,71,5.825242718,69,36,33,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5.555555555,7,5,2,10,3,7,54,28,26,17,8,9,71,14.912280701,0,0,0,32,25,7,34,7,27,0.0,114.86,7,0,0,0,4,0,1,0,0,0,0,0,7,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,27.83189165808091,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,78.74810550680873,11.726265684719632,Bajo
Zarcero           ,21101,39207,12,14,26,0,0,0,0,0,0,0,0,0,0,0,0,26,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,26,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,9,3,6,1,1,0,16,8,8,10,4,6,26,8.771929824,0,0,0,10,7,3,8,2,6,0.0,161.88,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,72.72927792742512,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,106.12434262615294,21.452676889352663,Bajo-medio
Zarcero           ,21101,39245,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,5,3,2,0,0,0,10,5,5,5,3,2,15,4.385964912,0,0,0,7,4,3,3,1,2,0.0,152.3599,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.638941750845284,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,92.6480415375731,16.664727203880656,Bajo-medio
Zarcero           ,21101,39805,96,101,197,7,4,3,0,0,0,8,5,3,22,9,13,163,80,83,31,14,17,3,2,1,0,0,0,0,0,0,0,34,16,18,197,33.009708737,177,89,88,20,7,13,5,2,3,2,1,1,0,0,0,10,1,9,1,0,1,5,4,1,1,1,0,197,55.555555555,39,20,19,16,6,10,142,70,72,55,26,29,197,48.245614035,0,0,0,95,62,33,70,17,53,0.0,113.4591,26,0,0,0,5,3,0,1,0,0,4,0,14,5,3,0,1,2,0,0,2,2,0,0,1,1,0,1,1,1,4,15,0,0,1,0,0,1,0,1,0,0,26.494232184990217,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,187.92824538671806,50.516510349169344,Alto-medio
Zarcero           ,21101,39887,41,57,98,0,0,0,0,0,0,0,0,0,0,0,0,95,41,54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,98,0.0,95,40,55,3,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,98,8.333333333,19,4,15,12,5,7,67,32,35,31,9,22,98,27.192982456,2,0,2,36,23,13,47,15,32,50.0,101.5777,1,0,0,0,2,1,1,1,0,0,1,0,6,1,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,4,5,3,1,0,0,0,0,0,2,0,0,15.14919166562428,7.190989421934478,9.522590999807166,9.631759364262717,10.0,36.62291983724287,5.100543874920662,125.29864232935209,28.265049337076974,Medio
