DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Guápiles          ,70201,38557,73,39,34,4.069568137211971,5.247148288973384,26.112,35.42871642618535,8.189280882299018,Bajo-medio
Guápiles          ,70201,38565,42,22,20,7.660221251216797,2.8897338403041823,29.924,40.47395509152098,10.628575202296489,Bajo-medio
Guápiles          ,70201,38572,114,46,68,9.44764958118426,8.365019011406844,35.502,53.314668592591104,16.83686019842195,Medio
Guápiles          ,70201,38617,169,78,91,10.538904484576955,12.547528517110266,21.918,45.00443300168722,12.81899071406839,Medio
Guápiles          ,70201,38675,215,103,112,15.800873301748064,16.045627376425855,30.807,62.65350067817391,21.352040068561326,Alto-medio
Guápiles          ,70201,38680,189,90,99,11.615827568775622,14.068441064638785,31.354,57.038268633414404,18.637162826705715,Alto-medio
Guápiles          ,70201,38719,37,21,16,11.703289201549316,2.5095057034220534,30.79,45.00279490497137,12.818198719818042,Medio
Guápiles          ,70201,38733,69,38,31,8.011470861680287,4.942965779467681,20.912,33.86643664114797,7.433942937223817,Bajo-medio
Guápiles          ,70201,38742,191,85,106,4.569940533846515,14.220532319391635,27.656,46.44647285323815,13.516194523923078,Medio
Guápiles          ,70201,38792,132,67,65,3.31647874104322,9.73384030418251,35.08,48.130319045225725,14.330307933479974,Medio
Guápiles          ,70201,38809,202,93,109,7.493481810643932,15.05703422053232,31.04,53.59051603117625,16.97022813892191,Medio
Guápiles          ,70201,38820,179,77,102,3.558505806426053,13.307984790874524,28.595,45.461490597300575,13.03997094331929,Medio
Guápiles          ,70201,38837,42,23,19,11.998552558530113,2.8897338403041823,29.285,44.17328639883429,12.417144275890134,Medio
Guápiles          ,70201,38905,80,43,37,6.8928041183033795,5.779467680608365,25.366,38.038271798911744,9.450960263721683,Bajo-medio
Guápiles          ,70201,38956,207,86,121,6.355407672375627,15.43726235741445,32.316,54.108670029790076,17.220747527506397,Medio
Guápiles          ,70201,39058,189,92,97,9.38013207430011,14.068441064638785,27.612,51.06057313893889,15.74704015192863,Medio
Guápiles          ,70201,39078,42,18,24,12.512274433977339,2.8897338403041823,26.098,41.50000827428152,11.124655936379387,Bajo-medio
Guápiles          ,70201,39085,36,18,18,14.907526108832716,2.4334600760456273,32.99,50.33098618487834,15.39429622224859,Medio
Guápiles          ,70201,39098,51,23,28,3.975089662346787,3.574144486692015,26.814,34.3632341490388,7.6741367951503365,Bajo-medio
Guápiles          ,70201,39111,47,16,31,2.7023448827833563,3.269961977186312,26.065,32.03730685996967,6.549587174944009,Bajo
Guápiles          ,70201,39124,56,31,25,12.176197204844545,3.954372623574144,26.232,42.362569828418685,11.541691014246215,Bajo-medio
Guápiles          ,70201,39125,15,5,10,7.405464531144054,0.8365019011406843,29.516,37.75796643228474,9.315436984441382,Bajo-medio
Guápiles          ,70201,39126,241,109,132,14.056895608706101,18.022813688212928,36.892,68.97170929691903,24.406795535761564,Alto
Guápiles          ,70201,39159,37,18,19,4.172040381372317,2.5095057034220534,31.363,38.04454608479437,9.453993783230025,Bajo-medio
Guápiles          ,70201,39209,454,225,229,12.989498417424485,34.22053231939163,35.703,82.91303073681613,31.147207329410122,Alto
Guápiles          ,70201,39215,147,76,71,7.5973629986248765,10.874524714828897,26.25,44.721887713453775,12.68238446757598,Medio
Guápiles          ,70201,39227,70,36,34,8.183566794493977,5.019011406844107,22.556,35.75857820133808,8.348763913308574,Bajo-medio
Guápiles          ,70201,39230,111,48,63,3.2768663255576924,8.136882129277566,27.202,38.61574845483526,9.730161233222631,Bajo-medio
Guápiles          ,70201,39347,29,11,18,10.584395708529733,1.9011406844106464,34.418,46.90353639294038,13.737177627048375,Medio
Guápiles          ,70201,39350,76,45,31,7.662800661122021,5.475285171102662,30.175,43.31308583222469,12.001250698722794,Bajo-medio
Guápiles          ,70201,39383,75,31,44,3.702090237946905,5.399239543726235,31.927,41.028329781673136,10.896606731137663,Bajo-medio
Guápiles          ,70201,39392,10,5,5,20.248652955460084,0.45627376425855515,30.311,51.015926719718635,15.725454303560252,Medio
Guápiles          ,70201,39412,150,73,77,5.376765000316827,11.102661596958175,22.81,39.289426597274996,10.055874123209446,Bajo-medio
Guápiles          ,70201,39417,510,245,265,37.70423418192232,38.47908745247148,66.871,143.05432163439377,60.224584836192086,Alto
Guápiles          ,70201,39452,135,66,69,8.86196245116778,9.961977186311787,36.698,55.52193963747957,17.904041372522688,Alto-medio
Guápiles          ,70201,39474,331,154,177,13.689636645384894,24.866920152091254,22.036,60.59255679747615,20.35560579944332,Alto-medio
Guápiles          ,70201,39512,441,190,251,12.077586176762106,33.2319391634981,28.469,73.7785253402602,26.7308162312255,Alto
Guápiles          ,70201,39523,163,74,89,6.834587039173099,12.091254752851711,35.398,54.323841792024815,17.32477972345567,Medio
Guápiles          ,70201,39540,122,59,63,6.834068597476,8.97338403041825,28.004,43.811452627894255,12.242203282850198,Medio
Guápiles          ,70201,39554,67,28,39,3.3398934351477108,4.790874524714829,22.638,30.768767959862544,5.9362683730035855,Bajo
Guápiles          ,70201,39564,69,32,37,8.33074692809901,4.942965779467681,29.093,42.36671270756669,11.543694031792958,Bajo-medio
Guápiles          ,70201,39664,50,26,24,8.396319673543468,3.4980988593155895,22.198,34.09241853285906,7.543201662417637,Bajo-medio
Guápiles          ,70201,39682,22,15,7,12.097888867256689,1.3688212927756656,100.0,113.46671016003235,45.919435486651714,Alto
Guápiles          ,70201,39713,337,167,170,11.875821204519527,25.323193916349812,33.964,71.16301512086935,25.466257774181518,Alto
Guápiles          ,70201,39801,49,20,29,0.33537654379553467,3.4220532319391634,29.659,33.4164297757347,7.216371626216385,Bajo-medio
Guápiles          ,70201,39823,71,33,38,6.439023381589015,5.095057034220532,27.285,38.81908041580955,9.828469069655883,Bajo-medio
Guápiles          ,70201,39824,79,36,43,4.587080030600496,5.7034220532319395,29.875,40.165502083832436,10.479442976935104,Bajo-medio
Guápiles          ,70201,39862,202,85,117,14.334597694952123,15.05703422053232,23.122,52.51363191548444,16.44957144040916,Medio
Guápiles          ,70201,39863,153,79,74,2.7518299816066456,11.330798479087452,26.573,40.655628460694096,10.716411446905406,Bajo-medio
Guápiles          ,70201,39960,23,12,11,7.175215643904685,1.4448669201520912,28.668,37.28808256405678,9.08825545213806,Bajo-medio
Guápiles          ,70201,39969,87,45,42,4.4027793732441385,6.311787072243346,27.345,38.059566445487484,9.461255893697615,Bajo-medio
Guápiles          ,70201,39979,155,79,76,3.797821003481409,11.482889733840304,32.747,48.02771073732171,14.280698414633127,Medio
Guápiles          ,70201,39992,427,213,214,12.193549873454787,32.167300380228134,30.992,75.35285025368292,27.491977808283828,Alto
Guápiles          ,70201,40013,21,10,11,17.38916699630462,1.2927756653992395,23.162,41.84394266170386,11.290942856254032,Bajo-medio
Guápiles          ,70201,40029,97,46,51,7.020719192562684,7.072243346007605,32.279,46.371962538570294,13.480169947206958,Medio
Guápiles          ,70201,40058,57,26,31,4.887200029051257,4.030418250950571,46.28,55.197618280001834,17.747237047172366,Alto-medio
Guápiles          ,70201,40061,325,171,154,9.037954316411675,24.4106463878327,26.836,60.28460070424437,20.206713824482822,Alto-medio
Guápiles          ,70201,40112,81,47,34,8.020504259414386,5.855513307984791,50.466,64.34201756739918,22.168411687491073,Alto-medio
Guápiles          ,70201,40116,184,93,91,4.468966873678646,13.688212927756654,25.875,44.0321798014353,12.348921433645934,Medio
Guápiles          ,70201,40123,495,232,263,21.41143925408526,37.338403041825096,32.049,90.79884229591036,34.95987440437581,Alto
Guápiles          ,70201,40131,142,71,71,10.60540646278031,10.494296577946768,39.955,61.05470304072708,20.579046310576242,Alto-medio
Guápiles          ,70201,40144,180,80,100,8.329991149005599,13.38403041825095,30.109,51.823021567256546,16.11567209262643,Medio
Guápiles          ,70201,40155,55,31,24,7.33670317236467,3.878326996197719,29.413,40.62803016856239,10.703068102476324,Bajo-medio
Guápiles          ,70201,40181,16,10,6,17.898721697900243,0.9125475285171103,59.432,78.24326922641735,28.88945036613259,Alto
Guápiles          ,70201,40199,66,33,33,7.6356070971227625,4.714828897338403,32.334,44.68443599446117,12.664277144717204,Medio
Guápiles          ,70201,40206,149,64,85,3.005285050711223,11.02661596958175,31.186,45.21790102029297,12.9221991765072,Medio
Guápiles          ,70201,40318,31,15,16,11.607552020268198,2.0532319391634983,26.885,40.5457839594317,10.663303341266465,Bajo-medio
Guápiles          ,70201,40406,109,50,59,4.082796736988277,7.984790874524715,24.965,37.032587611512994,8.964727621668892,Bajo-medio
Guápiles          ,70201,40412,253,126,127,9.038707976974369,18.935361216730037,20.313,48.287069193704404,14.406094189038088,Medio
Guápiles          ,70201,40418,86,50,36,3.675881971248586,6.23574144486692,18.005,27.916623416115506,4.557300905483174,Bajo
Guápiles          ,70201,40492,56,30,26,3.3317207693211506,3.954372623574144,22.651,29.937093392895292,5.534166672398582,Bajo
Guápiles          ,70201,40512,24,8,16,13.635018994478019,1.520912547528517,26.983,42.13893154200654,11.433565385715056,Bajo-medio
Guápiles          ,70201,40563,134,67,67,11.163764751919379,9.885931558935361,22.096,43.145696310854746,11.920320472069655,Bajo-medio
Guápiles          ,70201,40581,38,19,19,2.2691202680370814,2.585551330798479,22.858,27.712671598835563,4.458693378179799,Bajo
Guápiles          ,70201,40584,131,64,67,6.013951896486251,9.657794676806084,15.382,31.053746573292337,6.074051094331756,Bajo
Guápiles          ,70201,40585,68,30,38,3.7670795812450244,4.866920152091255,30.186,38.819999733336275,9.828913545362576,Bajo-medio
Guápiles          ,70201,40655,102,52,50,2.5554354164771076,7.452471482889733,29.245,39.25290689936684,10.038217418029681,Bajo-medio
Guápiles          ,70201,40671,77,34,43,7.703960957651805,5.551330798479087,37.074,50.32929175613089,15.39347699233828,Medio
Guápiles          ,70201,40701,120,60,60,7.054877591071339,8.821292775665398,32.649,48.52517036673674,14.521212398004693,Medio
Guápiles          ,70201,40706,147,76,71,8.691050300047474,10.874524714828897,33.507,53.07257501487637,16.719811723969226,Medio
Guápiles          ,70201,40750,28,10,18,11.727271576003412,1.8250950570342206,28.122,41.674366633037636,11.208955487375867,Bajo-medio
Guápiles          ,70201,40760,38,21,17,12.68764192401551,2.585551330798479,26.527,41.80019325481399,11.269790699377303,Bajo-medio
Guápiles          ,70201,40780,161,77,84,9.035697971402467,11.939163498098859,16.754,37.728861469501325,9.30136518821713,Bajo-medio
Guápiles          ,70201,40816,56,31,25,5.31306722483299,3.954372623574144,29.989,39.25643984840713,10.039925543868412,Bajo-medio
Guápiles          ,70201,40823,123,62,61,16.05485084200962,9.049429657794676,30.064,55.1682804998043,17.733052687354288,Alto-medio
Guápiles          ,70201,40853,180,64,116,5.854632652791669,13.38403041825095,26.093,45.33166307104262,12.977201356311202,Medio
Guápiles          ,70201,40857,63,28,35,3.882258936665618,4.486692015209125,23.15,31.518950951874743,6.298970166269957,Bajo
Guápiles          ,70201,40907,88,47,41,6.6403062310244145,6.387832699619772,31.431,44.45913893064419,12.555349523144654,Medio
Guápiles          ,70201,40964,47,17,30,8.060322360984257,3.269961977186312,30.011,41.34128433817057,11.047915385240893,Bajo-medio
Guápiles          ,70201,40979,18,10,8,13.585787155429907,1.064638783269962,26.005,40.655425938699864,10.716313530675277,Bajo-medio
Guápiles          ,70201,40987,90,45,45,4.057345993612419,6.539923954372624,32.851,43.44826994798504,12.066610113331611,Bajo-medio
Guápiles          ,70201,41033,333,167,166,13.716979709458762,25.019011406844104,30.639,69.37499111630287,24.60177601471098,Alto
Guápiles          ,70201,41166,43,18,25,7.992023707205938,2.9657794676806084,32.751,43.70880317488654,12.192573870986505,Medio
Guápiles          ,70201,41179,49,25,24,6.919352838605855,3.4220532319391634,31.825,42.166406070545015,11.446848892374312,Bajo-medio
Guápiles          ,70201,41181,55,30,25,2.1955833850998636,3.878326996197719,27.649,33.72291038129758,7.364550225868259,Bajo-medio
Guápiles          ,70201,41193,108,42,66,7.964039378031483,7.908745247148288,36.125,51.997784625179776,16.200167309367412,Medio
Guápiles          ,70201,41201,365,182,183,16.424812147634718,27.452471482889734,26.647,70.52428363052445,25.157441046222388,Alto
Guápiles          ,70201,41263,145,69,76,6.9032543636270205,10.722433460076045,35.749,53.37468782370307,16.86587856192335,Medio
Guápiles          ,70201,41264,184,89,95,10.162280726543809,13.688212927756654,28.838,52.688493654300466,16.53411436782495,Medio
Guápiles          ,70201,41281,235,113,122,11.46758374418188,17.566539923954373,32.404,61.43812366813626,20.76442421252468,Alto-medio
Guápiles          ,70201,41282,61,36,25,7.3615326899777696,4.334600760456274,85.599,97.29513345043405,38.10073000416244,Alto
Guápiles          ,70201,41319,59,27,32,6.117110237231652,4.182509505703422,30.211,40.51061974293508,10.646301990238868,Bajo-medio
Guápiles          ,70201,41377,99,46,53,5.854038386657972,7.224334600760455,34.259,47.337372987418426,13.946930863894892,Medio
Guápiles          ,70201,41384,57,26,31,8.63530365599846,4.030418250950571,28.141,40.80672190694903,10.789462775035982,Bajo-medio
Guápiles          ,70201,41436,20,5,15,11.883594578930353,1.2167300380228137,33.339,46.439324616953165,13.512738463006126,Medio
Guápiles          ,70201,41456,271,132,139,14.510371270312092,20.304182509505704,26.416,61.2305537798178,20.664067404222127,Alto-medio
Guápiles          ,70201,41612,177,89,88,6.216527427636464,13.155893536121674,27.584,46.956420963758134,13.76274649341293,Medio
Guápiles          ,70201,41614,160,76,84,5.195375389579165,11.863117870722434,28.531,45.589493260301595,13.101858237363121,Medio
Guápiles          ,70201,41629,40,20,20,9.439231494252194,2.737642585551331,27.429,39.60587407980353,10.208871552649782,Bajo-medio
