DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Siquirres         ,70301,142,19,22,41,16,9,7,0,0,0,7,3,4,11,6,5,16,5,11,18,11,7,5,2,3,2,1,1,0,0,0,0,25,14,11,41,7.961783439,34,15,19,7,4,3,3,2,1,2,2,0,0,0,0,3,2,1,1,0,1,0,0,0,1,0,1,41,5.69105691,12,7,5,6,3,3,23,9,14,18,10,8,41,5.625,0,0,0,12,8,4,20,5,15,0.0,161.88,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,73.91714126023314,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,106.33085764055198,21.226689799388833,Medio
Siquirres         ,70301,230,129,118,247,33,19,14,6,3,3,52,20,32,17,8,9,167,94,73,64,26,38,10,6,4,0,0,0,6,3,3,0,80,35,45,247,25.477707006,224,117,107,23,12,11,18,9,9,2,2,0,3,2,1,4,3,1,1,1,0,1,1,0,0,0,0,247,18.699186991,62,33,29,19,14,5,166,82,84,81,47,34,247,25.3125,3,1,2,95,63,32,99,39,60,15.0,92.2211,17,6,0,0,4,2,6,0,1,0,7,0,11,9,5,0,1,0,0,0,1,0,0,0,0,0,1,1,3,3,3,4,0,3,1,1,2,2,0,1,0,0,10.300080732658005,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,107.92535076097685,21.662156062531256,Medio
Siquirres         ,70301,286,80,92,172,50,22,28,12,6,6,38,19,19,13,6,7,95,45,50,50,21,29,18,10,8,9,4,5,0,0,0,0,77,35,42,172,24.522292993,155,72,83,17,8,9,12,5,7,1,1,0,0,0,0,6,2,4,1,1,0,0,0,0,1,0,1,172,13.821138211,41,19,22,9,5,4,122,56,66,50,24,26,172,15.625,4,0,4,61,50,11,77,17,60,20.0,138.6133,38,3,0,0,1,1,1,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,52.6684700613349,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,139.77277729665374,30.359891817263524,Alto-medio
Siquirres         ,70301,816,44,48,92,17,9,8,0,0,0,7,3,4,9,5,4,59,27,32,33,17,16,0,0,0,0,0,0,0,0,0,0,33,17,16,92,10.50955414,86,41,45,6,3,3,4,2,2,1,0,1,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,92,4.87804878,25,12,13,6,3,3,61,29,32,31,15,16,92,9.6875,2,1,1,38,25,13,31,9,22,10.0,103.7537,6,2,0,0,1,0,4,0,3,0,2,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,4,0,0,20.83240484688193,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,69.04338379820078,11.04324235257713,Bajo-medio
Siquirres         ,70301,1250,198,212,410,43,22,21,45,17,28,38,20,18,37,16,21,289,142,147,88,40,48,24,13,11,9,3,6,0,0,0,0,121,56,65,410,38.535031847,375,179,196,35,19,16,10,6,4,6,4,2,2,1,1,14,5,9,2,1,1,1,0,1,7,5,2,410,28.455284552,109,53,56,23,12,11,278,133,145,132,65,67,410,41.25,6,3,3,151,110,41,177,44,133,30.0,102.0285,24,2,0,0,15,2,5,0,1,0,8,0,22,16,23,1,0,7,1,0,0,0,0,0,0,0,3,0,2,1,2,5,1,3,1,1,1,0,1,3,0,0,19.256839444296293,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,170.63303187461514,38.78802460036879,Alto
Siquirres         ,70301,1322,119,107,226,10,5,5,0,0,0,41,22,19,28,12,16,154,84,70,63,31,32,8,4,4,0,0,0,0,0,0,1,71,35,36,226,22.611464968,200,104,96,26,15,11,18,12,6,5,3,2,3,1,2,9,5,4,8,3,5,2,1,1,0,0,0,226,21.138211382,57,29,28,10,3,7,159,87,72,67,32,35,226,20.9375,2,1,1,68,46,22,118,54,64,10.0,125.1929,15,6,0,0,2,1,4,1,0,0,10,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,0,2,0,0,1,0,0,0,0,0,40.41208359665818,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,128.23513597797702,27.208888224859823,Alto-medio
Siquirres         ,70301,1490,52,68,120,0,0,0,0,0,0,20,9,11,10,5,5,95,40,55,20,10,10,5,2,3,0,0,0,0,0,0,0,25,12,13,120,7.961783439,99,39,60,21,13,8,14,8,6,1,1,0,1,1,0,2,2,0,1,1,0,4,2,2,1,1,0,120,17.073170731,34,14,20,6,2,4,80,36,44,40,16,24,120,12.5,4,1,3,41,28,13,49,13,36,20.0,99.6457,9,4,0,0,1,1,2,0,0,0,5,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,2,0,1,0,0,17.08071073963535,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,87.7515409409542,16.1525596502681,Bajo-medio
Siquirres         ,70301,1508,63,69,132,17,7,10,2,0,2,15,8,7,12,4,8,94,46,48,32,15,17,4,2,2,2,0,2,0,0,0,0,38,17,21,132,12.101910828,127,61,66,5,2,3,1,0,1,1,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,132,4.06504065,34,16,18,11,7,4,87,40,47,45,23,22,132,14.0625,0,0,0,44,35,9,56,14,42,0.0,153.2183,21,8,0,0,0,0,5,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66.00671067388025,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,109.3720381831991,22.057255644724748,Medio
Siquirres         ,70301,1557,50,49,99,23,11,12,0,0,0,20,10,10,13,4,9,48,26,22,46,23,23,5,1,4,0,0,0,0,0,0,0,51,24,27,99,16.242038216,88,47,41,11,3,8,3,0,3,3,0,3,3,0,3,2,1,1,1,0,1,1,1,0,4,1,3,99,8.94308943,38,19,19,2,1,1,59,30,29,40,20,20,99,12.5,0,0,0,33,26,7,38,9,29,0.0,147.1576,22,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60.47168329418469,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,111.29268697150354,22.581797105542776,Alto-medio
Siquirres         ,70301,1869,0,5,5,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,5,1.592356687,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0,0,0,0,5,0,5,0,0,0,5,0.0,0,0,0,5,0,5,0,0,0,0.0,190.44,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,38.77745602200949,0.0,10.359728505877086,10.0,9.372080579225429,3.1358760313188414,114.72823271831885,23.52006660890812,Alto-medio
