DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Sarchí Norte      ,21201,38538,123,59,64,16.34459067145363,21.863799283154123,11.606,49.814389954607755,18.029299639098074,Medio
Sarchí Norte      ,21201,38593,61,28,33,10.140447028906978,10.75268817204301,11.056,31.94913520094999,8.601732634839841,Bajo-medio
Sarchí Norte      ,21201,38786,75,36,39,38.36978655131292,13.261648745519713,18.166,69.79743529683263,28.574433280384877,Medio
Sarchí Norte      ,21201,38982,22,9,13,29.182227464808275,3.763440860215054,25.554,58.49966832502332,22.612556072704937,Medio
Sarchí Norte      ,21201,39141,59,29,30,1.6976308292635993,10.39426523297491,10.602,22.693896062238508,3.71770560450762,Bajo
Sarchí Norte      ,21201,39424,231,116,115,29.073704461356115,41.21863799283154,15.59,85.88234245418766,37.06250367592122,Alto-medio
Sarchí Norte      ,21201,39521,157,86,71,25.232646512158862,27.956989247311824,9.379,62.56863575947069,24.75976660260478,Medio
Sarchí Norte      ,21201,39550,53,25,28,10.688845855857059,9.31899641577061,10.539,30.546842271627668,7.8617369990050365,Bajo-medio
Sarchí Norte      ,21201,39607,48,27,21,8.030269620126486,8.422939068100359,10.591,27.044208688226846,6.013383126966603,Bajo
Sarchí Norte      ,21201,39845,161,79,82,21.982232226842978,28.673835125448026,14.418,65.074067352291,26.081892961371818,Medio
Sarchí Norte      ,21201,40024,13,7,6,23.65136487486775,2.1505376344086025,26.051,51.85290250927635,19.105030937820533,Medio
Sarchí Norte      ,21201,40070,17,8,9,13.45280678992497,2.867383512544803,8.876,25.196190302469773,5.038176369656923,Bajo
Sarchí Norte      ,21201,40137,30,15,15,14.737448759278557,5.197132616487455,24.768,44.702581375766016,15.331777630344986,Bajo-medio
Sarchí Norte      ,21201,41000,350,169,181,81.03440826441218,62.54480286738351,3.975,147.55421113179568,69.60699756940595,Alto
Sarchí Norte      ,21201,41138,173,88,85,21.392586120780038,30.824372759856633,8.085,60.30195888063667,23.563632069575778,Medio
Sarchí Norte      ,21201,41189,97,47,50,21.71693497276019,17.20430107526882,25.452,64.37323604802901,25.712061454868458,Medio
Sarchí Norte      ,21201,41215,134,63,71,16.186442199723107,23.835125448028673,12.262,52.28356764775178,19.332294668753,Medio
Sarchí Norte      ,21201,41219,29,12,17,16.626718358559256,5.017921146953405,8.234,29.87863950551266,7.509123703709589,Bajo-medio
Sarchí Norte      ,21201,41287,107,56,51,12.552969142866003,18.996415770609318,13.848,45.39738491347532,15.698428260121705,Medio
Sarchí Norte      ,21201,41367,110,56,54,12.208522309513398,19.53405017921147,7.626,39.368572488724865,12.51699962257023,Bajo-medio
Sarchí Norte      ,21201,41481,254,115,139,28.708570876966455,45.340501792114694,12.712,86.76107266908114,37.52621315523208,Alto-medio
Sarchí Norte      ,21201,41563,30,15,15,12.197661754124175,5.197132616487455,23.324,40.71879437061163,13.229517156611937,Bajo-medio
Sarchí Norte      ,21201,41654,32,14,18,9.02313293116498,5.555555555555555,8.242,22.820688486720535,3.7846144784038582,Bajo
Sarchí Norte      ,21201,41686,74,37,37,18.218809833784416,13.082437275985665,23.491,54.79224710977008,20.656134941198133,Medio
Sarchí Norte      ,21201,41737,84,42,42,5.751600872634675,14.874551971326163,10.009,30.63515284396084,7.908338844281546,Bajo-medio
Sarchí Norte      ,21201,41977,82,39,43,15.863234947335897,14.516129032258066,10.391,40.77036397959396,13.256730647310397,Bajo-medio
Sarchí Norte      ,21201,42022,37,18,19,17.849311900557126,6.451612903225806,7.929,32.229924803782936,8.749906440996435,Bajo-medio
Sarchí Norte      ,21201,42216,35,16,19,22.875504943335024,6.093189964157706,8.876,37.84469490749273,11.712843275434373,Bajo-medio
Sarchí Norte      ,21201,42438,80,36,44,21.912934714382544,14.157706093189965,9.974,46.044640807572506,16.03998780655095,Medio
Sarchí Norte      ,21201,42473,73,28,45,13.353779269313964,12.903225806451612,17.544,43.80100507576557,14.856012179759116,Bajo-medio
Sarchí Norte      ,21201,42642,97,49,48,31.575969192641274,17.20430107526882,26.153,74.9332702679101,31.28463411324634,Medio
Sarchí Norte      ,21201,42918,335,169,166,62.336108333805605,59.85663082437276,6.578,128.77073915817837,59.6948836339678,Alto-medio
Sarchí Norte      ,21201,43024,56,23,33,14.352604428576358,9.85663082437276,8.558,32.76723525294912,9.03344733260142,Bajo-medio
Sarchí Norte      ,21201,43282,104,57,47,11.668516406378975,18.45878136200717,12.981,43.108297768386144,14.490467739183934,Bajo-medio
Sarchí Norte      ,21201,43327,424,211,213,76.71309319214885,75.80645161290323,5.567,158.08654480505209,75.16495253758238,Alto
Sarchí Norte      ,21201,43370,121,61,60,19.993617860477656,21.50537634408602,12.697,54.195994204563675,20.34148987775922,Medio
Sarchí Norte      ,21201,43507,29,13,16,7.033361764437521,5.017921146953405,10.038,22.089282911390924,3.3986488057175412,Bajo
Sarchí Norte      ,21201,43666,333,159,174,85.61040722785873,59.49820788530465,4.693,149.8016151131634,70.79296171669262,Alto
Sarchí Norte      ,21201,43801,148,66,82,19.12043766838534,26.344086021505376,10.698,56.16252368989071,21.379235420401102,Medio
Sarchí Norte      ,21201,43850,128,55,73,24.0758505214873,22.759856630824373,7.66,54.49570715231167,20.49964960936671,Medio
Sarchí Norte      ,21201,43876,113,58,55,13.26601319099187,20.07168458781362,21.897,55.23469777880549,20.889617944151457,Medio
Sarchí Norte      ,21201,43949,89,46,43,23.06074785709533,15.770609318996415,22.568,61.39935717609174,24.142733577134372,Medio
Sarchí Norte      ,21201,43974,77,33,44,12.771801985990017,13.620071684587815,17.723,44.11487367057783,15.021641903428131,Bajo-medio
Sarchí Norte      ,21201,44004,267,128,139,63.85817151417339,47.67025089605735,23.885,135.41342241023074,63.20025438352097,Alto
Sarchí Norte      ,21201,44038,38,16,22,14.588219688673613,6.630824372759856,14.463,35.682044061433466,10.571603699555105,Bajo-medio
Sarchí Norte      ,21201,44134,90,36,54,21.809670116366863,15.949820788530467,14.534,52.29349090489733,19.337531211580412,Medio
