DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Guápiles          ,70201,38557,73,39,34,4.069568137211971,5.247148288973384,34.818,44.13471642618535,13.01135542043587,Bajo
Guápiles          ,70201,38565,42,22,20,7.660221251216797,2.8897338403041823,30.015,40.56495509152098,11.496831356225352,Bajo
Guápiles          ,70201,38572,114,46,68,9.44764958118426,8.365019011406844,29.204,47.0166685925911,14.23406626822859,Bajo-medio
Guápiles          ,70201,38617,169,78,91,10.538904484576955,12.547528517110266,43.768,66.85443300168723,22.650531337185317,Bajo-medio
Guápiles          ,70201,38675,215,103,112,15.800873301748064,16.045627376425855,42.264,74.11050067817392,25.729025409286198,Medio
Guápiles          ,70201,38680,189,90,99,11.615827568775622,14.068441064638785,30.143,55.827268633414405,17.972093696668885,Bajo-medio
Guápiles          ,70201,38719,37,21,16,11.703289201549316,2.5095057034220534,30.794,45.00679490497137,13.38134761828282,Bajo
Guápiles          ,70201,38733,69,38,31,8.011470861680287,4.942965779467681,43.735,56.689436641147964,18.337881230537082,Bajo-medio
Guápiles          ,70201,38742,191,85,106,4.569940533846515,14.220532319391635,32.709,51.49947285323815,16.135962303116795,Bajo-medio
Guápiles          ,70201,38792,132,67,65,3.31647874104322,9.73384030418251,29.571,42.62131904522573,12.369274189424942,Bajo
Guápiles          ,70201,38809,202,93,109,7.493481810643932,15.05703422053232,32.316,54.86651603117625,17.564480189930247,Bajo-medio
Guápiles          ,70201,38820,179,77,102,3.558505806426053,13.307984790874524,30.394,47.260490597300574,14.337511361302655,Bajo-medio
Guápiles          ,70201,38837,42,23,19,11.998552558530113,2.8897338403041823,31.801,46.6892863988343,14.095169528599547,Bajo-medio
