DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Los Chiles        ,21401,50,21,17,38,0,0,0,0,0,0,0,0,0,0,0,0,36,19,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0.0,36,20,16,2,1,1,1,0,1,1,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,38,2.469135802,8,4,4,4,3,1,26,14,12,12,7,5,38,4.453441295,0,0,0,16,11,5,17,7,10,0.0,142.84,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,0,0,0,0,0,0,0,0,53.12972333736063,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,64.55176088354597,11.980012576520826,Bajo
Los Chiles        ,21401,1464,4,7,11,11,4,7,11,4,7,2,0,2,4,2,2,0,0,0,0,0,0,5,2,3,6,2,4,0,0,0,0,11,4,7,11,2.75,9,3,6,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.469135802,3,1,2,1,1,0,7,2,5,4,2,2,11,1.214574898,0,0,0,1,1,0,7,2,5,0.0,190.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,110.93317114918534,28.64776176293107,Medio
Los Chiles        ,21401,1874,27,10,37,25,18,7,19,14,5,6,5,1,21,15,6,4,3,1,4,2,2,20,16,4,9,6,3,0,0,0,0,33,24,9,37,8.25,36,27,9,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,1.234567901,11,10,1,5,3,2,21,14,7,16,13,3,37,6.072874493,0,0,0,7,7,0,21,12,9,0.0,180.92,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.62594466747213,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,110.68284751065747,28.557804782353806,Medio
Los Chiles        ,21401,2017,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,1,1,0,0,0,0,12,5,7,1,1,0,13,0.0,0,0,0,9,4,5,3,1,2,0.0,180.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,90.62594466747213,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,95.12540511665746,22.967040156610636,Bajo-medio
Los Chiles        ,21401,2491,43,48,91,19,7,12,3,0,3,0,0,0,11,5,6,65,32,33,19,10,9,7,1,6,0,0,0,0,0,0,0,26,11,15,91,6.5,83,39,44,8,4,4,4,3,1,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,91,9.876543209,24,7,17,5,4,1,62,32,30,29,11,18,91,11.336032388,0,0,0,38,28,10,39,10,29,0.0,136.5706,22,2,0,0,0,0,1,1,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,46.95643525944569,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,79.16847130563102,17.23271321348676,Bajo-medio
Los Chiles        ,21401,2663,55,46,101,74,40,34,65,34,31,60,32,28,53,29,24,6,3,3,13,8,5,17,7,10,47,27,20,16,8,8,2,93,50,43,101,23.25,96,51,45,5,4,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,101,6.172839506,41,22,19,2,1,1,58,32,26,43,23,20,101,17.004048582,0,0,0,28,23,5,43,15,28,0.0,157.1144,17,3,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,67.18529218595684,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,118.11164072314217,31.227436027161648,Medio
Los Chiles        ,21401,2823,46,34,80,10,5,5,9,6,3,8,5,3,15,10,5,49,27,22,20,12,8,11,7,4,0,0,0,0,0,0,0,31,19,12,80,7.75,76,43,33,4,3,1,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,80,4.938271604,30,21,9,7,5,2,43,20,23,37,26,11,80,14.574898785,0,0,0,8,4,4,48,26,22,0.0,161.88,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,71.87783400241638,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,103.64046484060171,26.027035076410428,Medio
Los Chiles        ,21401,2952,77,75,152,89,47,42,9,8,1,49,25,24,83,44,39,25,11,14,68,33,35,15,8,7,44,25,19,0,0,0,0,127,66,61,152,31.75,150,76,74,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,152,2.469135802,64,34,30,2,1,1,86,42,44,66,35,31,152,26.315789473,7,0,7,33,28,5,59,19,40,25.925925925,160.137,25,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.16155475403444,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,161.12186640321977,46.683707192282334,Alto-medio
Los Chiles        ,21401,3102,20,11,31,0,0,0,0,0,0,10,8,2,3,1,2,18,11,7,13,9,4,0,0,0,0,0,0,0,0,0,0,13,9,4,31,3.25,21,16,5,10,4,6,10,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12.345679012,9,7,2,2,1,1,20,12,8,11,8,3,31,4.048582995,1,1,0,12,11,1,14,5,9,3.703703703,161.8799,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,71.8777355354486,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,99.72516169463393,24.62002113586839,Bajo-medio
Los Chiles        ,21401,3572,36,30,66,19,11,8,1,1,0,22,13,9,27,15,12,27,14,13,20,11,9,8,4,4,11,7,4,0,0,0,0,39,22,17,66,9.75,62,32,30,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,66,4.938271604,23,10,13,1,1,0,42,25,17,24,11,13,66,9.31174089,0,0,0,21,17,4,26,13,13,0.0,161.88,14,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.87783400241638,42.379200833298775,0.0,14.463627778369387,4.499460449185333,4.738663889623554,0.0,100.37730694560172,24.854377819159943,Medio
