DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Puerto Cortés     ,60501,222,24,20,44,8,3,5,0,0,0,0,0,0,9,6,3,29,15,14,11,7,4,3,1,2,0,0,0,0,0,0,1,14,8,6,44,8.092485549,38,22,16,6,2,4,1,0,1,0,0,0,1,1,0,4,1,3,1,1,0,0,0,0,0,0,0,44,11.320754716,9,5,4,4,2,2,31,17,14,13,7,6,44,11.504424778,1,1,0,8,5,3,27,14,13,4.545454545,142.84,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,59.08561506955875,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,115.83401360326675,20.081661494278926,Medio
Puerto Cortés     ,60501,685,8,10,18,4,2,2,0,0,0,0,0,0,0,0,0,14,6,8,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,18,2.312138728,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.0,5,2,3,1,1,0,12,5,7,6,3,3,18,5.309734513,1,0,1,8,5,3,5,1,4,4.545454545,142.84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,59.08561506955875,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,92.53822180126676,11.829851715338478,Bajo
Puerto Cortés     ,60501,815,29,33,62,0,0,0,0,0,0,0,0,0,0,0,0,62,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.0,59,27,32,3,2,1,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,62,5.660377358,19,10,9,4,3,1,39,16,23,23,13,10,62,20.3539823,0,0,0,19,11,8,28,9,19,0.0,123.8,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,4,0,0,0,0,0,2,0,0,42.71986109738225,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,90.01949970109024,10.937672740126068,Bajo
Puerto Cortés     ,60501,837,33,36,69,0,0,0,0,0,0,0,0,0,1,0,1,68,33,35,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,69,0.578034682,52,24,28,17,9,8,11,7,4,1,0,1,0,0,0,8,4,4,3,1,2,0,0,0,0,0,0,69,32.075471698,10,6,4,10,6,4,49,21,28,20,12,8,69,17.699115044,2,1,1,30,18,12,29,9,20,9.09090909,113.3201,3,0,0,0,0,1,0,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,4,2,3,0,0,0,0,0,0,0,0,33.71190600006017,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,114.44071545976817,19.58812895659055,Medio
Puerto Cortés     ,60501,1739,6,5,11,6,4,2,1,1,0,0,0,0,1,1,0,5,2,3,5,3,2,0,0,0,1,1,0,0,0,0,0,6,4,2,11,3.468208092,8,4,4,3,2,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11,5.660377358,5,3,2,1,1,0,5,2,3,6,4,2,11,5.309734513,0,0,0,2,2,0,6,2,4,0.0,190.44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,135.723598908708,27.126928550126323,Medio
Puerto Cortés     ,60501,2180,10,7,17,4,2,2,0,0,0,0,0,0,0,0,0,13,8,5,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,17,2.312138728,16,9,7,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,17,1.886792452,3,2,1,0,0,0,14,8,6,3,2,1,17,2.654867256,0,0,0,5,4,1,11,5,6,0.0,180.92,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.81712301391175,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,119.95620039561976,21.54181797115976,Medio
Puerto Cortés     ,60501,2388,24,19,43,41,23,18,43,24,19,18,7,11,8,5,3,0,0,0,2,1,1,22,15,7,12,4,8,7,4,3,0,43,24,19,43,24.855491329,42,24,18,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,43,1.886792452,9,2,7,3,3,0,31,19,12,12,5,7,43,10.619469026,0,0,0,21,18,3,15,4,11,0.0,152.36,11,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,67.268492055647,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,125.915523808355,23.652722963401995,Medio
Puerto Cortés     ,60501,2593,49,55,104,16,5,11,0,0,0,4,1,3,6,4,2,78,39,39,26,10,16,0,0,0,0,0,0,0,0,0,0,26,10,16,104,15.028901734,100,47,53,4,2,2,1,0,1,2,2,0,2,1,1,2,0,2,1,0,1,0,0,0,0,0,0,104,7.547169811,26,16,10,6,2,4,72,31,41,32,18,14,104,28.31858407,3,3,0,28,13,15,54,21,33,13.636363636,130.9316,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,12,0,0,0,0,0,0,0,0,48.84979865137248,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,134.66609684808049,26.75234133200109,Medio
Puerto Cortés     ,60501,2932,44,34,78,7,6,1,0,0,0,18,11,7,20,11,9,47,25,22,17,10,7,14,9,5,0,0,0,0,0,0,0,31,19,12,78,17.919075144,66,37,29,12,7,5,5,2,3,0,0,0,0,0,0,6,5,1,0,0,0,2,2,0,1,0,1,78,22.641509433,28,15,13,2,2,0,48,27,21,30,17,13,78,26.548672566,1,1,0,31,22,9,26,10,16,4.545454545,117.3483,6,2,0,0,1,1,0,0,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,2,0,0,2,0,0,37.174328802093854,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,130.11431943580186,25.140015737685967,Medio
Puerto Cortés     ,60501,3133,22,20,42,9,4,5,2,1,1,15,9,6,6,3,3,22,11,11,14,8,6,0,0,0,6,3,3,0,0,0,0,20,11,9,42,11.560693641,33,17,16,9,5,4,3,2,1,3,3,0,0,0,0,1,0,1,1,0,1,1,1,0,4,2,2,42,16.981132075,7,5,2,4,1,3,31,16,15,11,6,5,42,9.734513274,0,0,0,10,8,2,26,10,16,0.0,152.36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,67.268492055647,17.680507362032454,7.07803267427299,16.73414562208118,7.692533630052108,9.633565342906767,6.514712641382905,126.830109991355,23.976686676363883,Medio
