DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Puntarenas        ,60101,73,68,99,167,0,0,0,0,0,0,0,0,0,7,3,4,160,65,95,7,3,4,0,0,0,0,0,0,0,0,0,0,7,3,4,167,2.916666666,143,57,86,24,11,13,16,7,9,3,2,1,2,2,0,7,3,4,2,2,0,0,0,0,2,1,1,167,12.5,41,13,28,15,8,7,111,47,64,56,21,35,167,23.045267489,7,1,6,58,34,24,69,24,45,43.75,99.6622,3,0,0,0,3,1,1,0,0,0,1,0,6,5,1,0,2,2,0,0,1,1,0,0,0,0,3,0,5,2,4,4,3,8,1,1,0,0,0,0,0,0,29.55195572173357,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,122.29431741030163,33.065199542164336,Alto-medio
Puntarenas        ,60101,303,22,24,46,7,5,2,0,0,0,0,0,0,0,0,0,39,17,22,7,5,2,0,0,0,0,0,0,0,0,0,0,7,5,2,46,2.916666666,26,15,11,20,7,13,15,4,11,2,2,0,1,0,1,3,1,2,0,0,0,2,0,2,0,0,0,46,10.416666666,9,6,3,7,2,5,30,14,16,16,8,8,46,6.584362139,1,1,0,21,13,8,18,2,16,6.25,104.7599,1,0,0,0,1,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,33.50802202117373,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,70.20614502574179,18.322441931516007,Bajo
Puntarenas        ,60101,537,19,26,45,2,1,1,0,0,0,0,0,0,9,3,6,34,15,19,11,4,7,0,0,0,0,0,0,0,0,0,0,11,4,7,45,4.583333333,42,17,25,3,2,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,1.5625,7,2,5,4,2,2,34,15,19,11,4,7,45,4.526748971,1,1,0,16,8,8,23,8,15,6.25,114.28,2,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,40.89608855653286,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,68.34909839410092,17.796833389142428,Bajo
Puntarenas        ,60101,1626,22,23,45,0,0,0,2,1,1,0,0,0,0,0,0,43,21,22,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,45,0.833333333,39,21,18,6,1,5,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,45,3.125,9,5,4,5,3,2,31,14,17,14,8,6,45,5.761316872,0,0,0,20,9,11,17,8,9,0.0,85.72,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,1,0,1,0,0,18.732121765232684,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,38.98219950380075,9.484983456691175,Bajo
Puntarenas        ,60101,1681,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,3,2,1,0,0,0,3,0.0,0,0,0,3,2,1,0,0,0,0.0,180.92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.6120110695666,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,103.14243860313466,27.64455423792881,Medio
Puntarenas        ,60101,2339,24,28,52,0,0,0,0,0,0,0,0,0,3,2,1,49,22,27,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,52,1.25,51,23,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,52,0.520833333,12,4,8,3,2,1,37,18,19,15,6,9,52,6.172839506,0,0,0,21,13,8,22,10,12,0.0,123.7999,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,48.28399988204051,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,66.75810025460856,17.346525788477194,Bajo
Puntarenas        ,60101,3069,35,26,61,7,4,3,0,0,0,0,0,0,3,2,1,51,29,22,10,6,4,0,0,0,0,0,0,0,0,0,0,10,6,4,61,4.166666666,53,30,23,8,5,3,5,5,0,0,0,0,0,0,0,3,1,2,1,0,1,1,0,1,0,0,0,61,4.166666666,13,7,6,9,3,6,39,25,14,22,10,12,61,9.053497942,4,4,0,24,17,7,24,10,14,25.0,108.3198,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,3,2,0,0,1,0,0,0,1,0,1,1,2,2,0,0,1,1,0,0,1,0,0,0,0,0,36.270679772586526,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,89.1879385801546,23.69494721586396,Medio
Puntarenas        ,60101,3166,13,21,34,0,0,0,0,0,0,0,0,0,4,2,2,30,11,19,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,34,1.666666666,31,10,21,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1.5625,7,1,6,6,4,2,21,8,13,13,5,8,34,5.349794238,1,1,0,8,5,3,22,7,15,6.25,152.36,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,70.44804427826644,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,95.8074327158345,25.568493418002635,Medio
Puntarenas        ,60101,3537,11,18,29,4,0,4,0,0,0,0,0,0,2,1,1,23,10,13,6,1,5,0,0,0,0,0,0,0,0,0,0,6,1,5,29,2.5,22,9,13,7,2,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,3.645833333,1,0,1,9,3,6,19,8,11,10,3,7,29,4.115226337,0,0,0,12,6,6,17,5,12,0.0,133.3199,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,55.671988812473906,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,76.46347601604197,20.093483414763337,Bajo-medio
Puntarenas        ,60101,3626,21,20,41,0,0,0,0,0,0,0,0,0,5,3,2,36,18,18,5,3,2,0,0,0,0,0,0,0,0,0,0,5,3,2,41,2.083333333,36,17,19,5,4,1,2,2,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,41,2.604166666,13,6,7,4,3,1,24,12,12,17,9,8,41,6.995884773,0,0,0,13,10,3,15,5,10,0.0,152.3599,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.44796667334069,3.1112658393345543,9.117056840871385,29.409439641488593,1.1703470820237993,2.5501407154330087,0.2430236106728801,92.66177897890874,24.678164415323458,Medio
