DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Golfito           ,60701,474,26,9,17,24.108224892478066,4.708097928436912,30.102,58.91832282091498,14.829240683970438,Bajo-medio
Golfito           ,60701,691,125,60,65,24.412709618904596,23.35216572504708,34.382,82.14687534395168,26.79212158752151,Alto-medio
Golfito           ,60701,1035,49,22,27,5.474550712221531,9.03954802259887,34.096,48.6100987348204,9.52042701825586,Bajo
Golfito           ,60701,1240,97,43,54,21.63250789594113,18.07909604519774,20.135,59.84660394113888,15.307312508516556,Bajo-medio
Golfito           ,60701,1333,38,21,17,15.798900174122712,6.96798493408663,34.082,56.848885108209345,13.763464550487189,Bajo-medio
Golfito           ,60701,1462,5,3,2,25.714127045013456,0.7532956685499058,17.829,44.29642271356336,7.298851117319967,Bajo
Golfito           ,60701,1873,91,45,46,22.73920852342953,16.94915254237288,35.292,74.98036106580241,23.10131232516761,Medio
Golfito           ,60701,2268,50,25,25,12.224797801879152,9.227871939736348,34.045,55.4976697416155,13.067578378088832,Bajo-medio
Golfito           ,60701,2498,17,10,7,19.380451676478398,3.0131826741996233,32.946,55.33963435067802,12.986188951930815,Bajo-medio
Golfito           ,60701,2711,28,16,12,29.986271056731656,5.084745762711865,29.43,64.50101681944352,17.704370477750434,Medio
Golfito           ,60701,2749,40,24,16,22.43853847010138,7.344632768361582,34.064,63.84717123846296,17.367635039464886,Bajo-medio
Golfito           ,60701,3006,82,36,46,15.022346441142034,15.254237288135593,32.9,63.176583729277624,17.022277381046987,Bajo-medio
Golfito           ,60701,3062,67,32,35,31.38028425461284,12.429378531073446,26.847,70.65666278568628,20.874574884828988,Medio
Golfito           ,60701,3179,83,44,39,34.99357237740137,15.44256120527307,36.534,86.97013358267444,29.276136199266617,Alto-medio
Golfito           ,60701,3282,445,214,231,78.85070466555449,83.61581920903954,29.463,191.92952387459403,83.33101906492614,Alto
Golfito           ,60701,3295,53,24,29,13.696769155413103,9.792843691148775,34.033,57.52261284656188,14.11043945076722,Bajo-medio
Golfito           ,60701,3689,78,36,42,20.696786896190126,14.500941619585687,30.306,65.50372851577582,18.220774614078973,Medio
Golfito           ,60701,4390,97,47,50,19.52332030115427,18.07909604519774,32.952,70.55441634635201,20.821917192303594,Medio
Golfito           ,60701,4480,60,32,28,19.675042334453146,11.11111111111111,29.887,60.67315344556425,15.732991778566795,Bajo-medio
Golfito           ,60701,4700,55,25,30,16.161209425658413,10.16949152542373,29.598,55.92870095108214,13.289562723409066,Bajo-medio
Golfito           ,60701,4993,97,49,48,21.088266213866913,18.07909604519774,29.527,68.69436225906466,19.863975215578435,Medio
Golfito           ,60701,5226,118,62,56,23.35729747900364,22.033898305084744,32.104,77.49519578408838,24.396471298036634,Alto-medio
