DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
San Ramón         ,20201,336,69,80,149,1,0,1,0,0,0,20,9,11,12,1,11,117,59,58,31,10,21,1,0,1,0,0,0,0,0,0,0,32,10,22,149,15.238095238,127,55,72,22,14,8,7,5,2,3,1,2,1,1,0,4,1,3,1,1,0,7,6,1,0,0,0,149,22.448979591,22,13,9,19,7,12,108,49,59,41,20,21,149,20.0,2,1,1,46,29,17,83,28,55,11.111111111,98.5377,0,0,0,0,4,0,0,0,0,0,2,0,9,5,4,0,1,0,2,0,0,0,0,0,0,1,3,0,1,1,2,2,1,3,0,0,0,0,0,5,0,0,25.7461956987197,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,104.2265702719845,28.936804686697755,Alto-medio
San Ramón         ,20201,752,5,6,11,0,0,0,0,0,0,0,0,0,1,0,1,10,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0.476190476,1,0,1,10,5,5,8,4,4,1,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,11,10.204081632,1,0,1,8,4,4,2,1,1,9,4,5,11,4.390243902,0,0,0,3,2,1,8,3,5,0.0,180.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,92.30817708644736,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,117.06088172971216,32.72303594023162,Alto-medio
San Ramón         ,20201,838,31,51,82,0,0,0,0,0,0,0,0,0,2,0,2,80,31,49,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,82,0.952380952,72,28,44,10,3,7,2,1,1,5,2,3,1,1,0,4,1,3,1,0,1,0,0,0,1,1,0,82,10.204081632,13,2,11,15,6,9,54,23,31,28,8,20,82,13.658536585,1,0,1,39,19,20,29,10,19,5.555555555,126.7189,0,0,0,0,3,4,0,0,0,0,1,0,7,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,2,4,2,8,1,0,0,0,0,0,0,1,0,0,48.51560745201902,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,88.56835080928381,24.317496506462405,Medio
San Ramón         ,20201,966,16,20,36,0,0,0,0,0,0,0,0,0,0,0,0,36,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0,32,14,18,4,2,2,1,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,36,4.081632653,4,2,2,7,3,4,25,11,14,11,5,6,36,5.365853658,0,0,0,13,7,6,20,8,12,0.0,123.7999,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46.15715880867237,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,65.28683375293717,17.449250570655234,Bajo-medio
San Ramón         ,20201,1158,23,25,48,16,5,11,4,1,3,0,0,0,3,1,2,29,17,12,15,5,10,4,1,3,0,0,0,0,0,0,0,19,6,13,48,9.047619047,47,23,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,48,1.020408163,11,6,5,3,2,1,34,15,19,14,8,6,48,6.829268292,2,1,1,14,11,3,23,7,16,11.111111111,104.7602,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,30.773755370944624,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,68.46435061720942,18.38664512429096,Bajo-medio
San Ramón         ,20201,1190,29,21,50,0,0,0,0,0,0,3,1,2,1,0,1,46,28,18,4,1,3,0,0,0,0,0,0,0,0,0,0,4,1,3,50,1.904761904,50,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.0,9,8,1,4,2,2,37,19,18,13,10,3,50,6.341463414,0,0,0,18,10,8,25,12,13,0.0,123.8001,1,0,0,0,2,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,0,0,46.15732040159072,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,64.08573435285551,17.094916011908666,Bajo-medio
San Ramón         ,20201,1394,21,19,40,0,0,0,0,0,0,0,0,0,0,0,0,40,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.0,36,21,15,4,0,4,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,40,4.081632653,0,0,0,12,2,10,28,19,9,12,2,10,40,5.853658536,0,0,0,21,15,6,19,6,13,0.0,114.2799,1,0,0,0,1,3,0,0,0,0,2,0,3,3,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,38.46533589511973,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,58.082815717384534,15.32400385780506,Bajo
San Ramón         ,20201,2276,27,46,73,0,0,0,2,1,1,6,3,3,0,0,0,62,22,40,8,4,4,0,0,0,0,0,0,0,0,0,3,8,4,4,73,3.809523809,65,24,41,8,3,5,1,0,1,5,3,2,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,73,8.163265306,14,5,9,11,2,9,48,20,28,25,7,18,73,12.195121951,0,0,0,25,12,13,36,10,26,0.0,121.88,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,2,2,8,0,0,0,0,1,0,0,1,0,0,44.60594758895286,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,78.45604728821766,21.334280791089693,Bajo-medio
San Ramón         ,20201,2697,19,28,47,0,0,0,0,0,0,0,0,0,2,1,1,45,18,27,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,47,0.952380952,46,19,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,47,1.020408163,8,2,6,9,3,6,30,14,16,17,5,12,47,8.292682926,1,1,0,19,11,8,20,6,14,5.555555555,85.7203,1,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,15.390190340298526,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,40.893406569563325,10.252981671720082,Bajo
San Ramón         ,20201,3489,15,19,34,0,0,0,0,0,0,0,0,0,0,0,0,34,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,31,15,16,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,3.061224489,2,1,1,5,0,5,27,14,13,7,1,6,34,3.414634146,3,3,0,13,4,9,17,8,9,16.666666666,133.3199,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,53.848981722225005,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,86.67369565648981,23.758557090210488,Medio
San Ramón         ,20201,3704,66,56,122,0,0,0,0,0,0,3,0,3,2,1,1,116,65,51,5,1,4,0,0,0,0,0,0,0,0,0,1,5,1,4,122,2.38095238,107,59,48,15,7,8,10,3,7,1,1,0,1,1,0,5,2,3,2,2,0,0,0,0,2,2,0,122,15.306122448,20,13,7,7,3,4,95,50,45,27,16,11,122,13.170731707,0,0,0,62,36,26,43,19,24,0.0,88.4734,0,0,0,0,1,1,1,0,0,0,8,0,6,5,1,0,0,0,1,1,2,1,0,0,2,0,0,0,3,0,4,6,3,7,3,0,1,2,0,3,0,0,17.614597657872242,2.544473593424512,9.682188633264797,0.0,0.0,0.5889643542140905,0.0,58.15459282613705,15.345178716568789,Bajo
