DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
San Mateo         ,20401,104,16,19,35,0,0,0,0,0,0,0,0,0,1,0,1,34,16,18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,35,0.709219858,32,16,16,3,0,3,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,35,5.0,11,5,6,0,0,0,24,11,13,11,5,6,35,11.458333333,0,0,0,17,11,6,12,2,10,0.0,123.8002,2,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,36.47356695700418,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,55.402365380863095,4.539473440204834,Bajo
San Mateo         ,20401,1537,18,15,33,0,0,0,3,2,1,0,0,0,0,0,0,30,16,14,3,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,33,2.127659574,31,18,13,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,33,3.333333333,6,3,3,2,0,2,25,15,10,8,3,5,33,8.333333333,0,0,0,17,13,4,10,2,8,0.0,133.3201,6,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,45.548703585955884,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,61.1042750588148,6.925058910064877,Bajo
San Mateo         ,20401,2325,3,4,7,2,1,1,0,0,0,0,0,0,1,0,1,5,2,3,1,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,7,1.418439716,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.666666666,0,0,0,1,0,1,6,3,3,1,0,1,7,1.041666666,0,0,0,4,3,1,3,0,3,0.0,161.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,72.77430412894455,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,78.66232240980348,14.27105788328607,Bajo-medio
San Mateo         ,20401,4885,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,9,6,3,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,11,3.333333333,2,0,2,0,0,0,9,6,3,2,0,2,11,2.083333333,0,0,0,7,6,1,2,0,2,0.0,152.3599,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6989768438593,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,70.87688874271822,11.013760156425253,Bajo-medio
San Mateo         ,20401,6177,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1.666666666,2,1,1,0,0,0,3,2,1,2,1,1,5,2.083333333,0,0,0,3,2,1,0,0,0,0.0,171.3999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,81.84944075789626,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,87.36068598975518,17.910310509144367,Bajo-medio
San Mateo         ,20401,6546,120,120,240,30,14,16,78,39,39,44,24,20,55,27,28,98,49,49,84,42,42,48,25,23,9,4,5,0,0,0,1,141,71,70,240,100.0,222,108,114,18,12,6,11,7,4,5,5,0,0,0,0,10,5,5,1,1,0,0,0,0,1,1,0,240,30.0,53,23,30,31,20,11,156,77,79,84,43,41,240,87.5,0,0,0,58,43,15,146,61,85,0.0,91.9408,15,0,0,0,4,2,1,0,1,0,3,1,7,2,1,0,2,0,2,0,0,0,0,0,1,0,0,0,2,1,0,6,0,1,3,0,1,0,0,2,0,0,6.102616850761051,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,225.36386208361998,75.64857545520113,Alto
San Mateo         ,20401,6686,127,119,246,14,6,8,13,3,10,29,14,15,6,3,3,190,103,87,50,22,28,6,2,4,0,0,0,0,0,0,0,56,24,32,246,39.716312056,233,120,113,13,7,6,8,4,4,3,0,3,2,2,0,6,4,2,3,2,1,0,0,0,1,0,1,246,21.666666666,54,30,24,29,16,13,163,81,82,83,46,37,246,86.458333333,1,0,1,95,69,26,103,32,71,12.5,99.636,28,1,0,0,4,1,0,0,1,0,2,0,14,6,4,1,2,2,0,0,0,0,0,0,2,1,3,0,7,0,0,5,0,1,1,0,0,1,1,7,0,0,13.438302245261957,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,175.54085953312088,54.803448530642854,Alto-medio
San Mateo         ,20401,7475,5,8,13,0,0,0,0,0,0,0,0,0,3,0,3,10,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,13,2.127659574,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,4,2,2,3,0,3,6,3,3,7,2,5,13,7.291666666,0,0,0,4,3,1,6,1,5,0.0,171.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,81.84953608596304,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,93.03010755882197,20.282303487211916,Medio
San Mateo         ,20401,7492,13,11,24,0,0,0,0,0,0,0,0,0,4,3,1,20,10,10,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,24,2.836879432,22,12,10,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.333333333,6,1,5,1,1,0,17,11,6,7,2,5,24,7.291666666,0,0,0,9,7,2,10,5,5,0.0,133.3199,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,45.54851292982234,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,60.771637593681255,6.785888851545338,Bajo
San Mateo         ,20401,10198,39,39,78,8,6,2,14,9,5,5,2,3,13,5,8,46,23,23,24,10,14,8,6,2,0,0,0,0,0,0,0,32,16,16,78,22.69503546,67,35,32,11,4,7,7,3,4,1,0,1,2,1,1,4,2,2,3,2,1,0,0,0,1,0,1,78,18.333333333,19,9,10,12,6,6,47,24,23,31,15,16,78,32.291666666,0,0,0,30,20,10,32,10,22,0.0,90.467,7,0,0,0,1,1,0,0,0,0,1,0,4,1,2,0,2,0,0,0,0,0,1,1,1,1,0,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,4.697671802625144,51.83606392605757,0.0,0.0,0.0,27.94511960842965,1.7612452328589208,79.77895249448406,14.738237592484746,Bajo-medio
