DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Palmares          ,20701,48482,30,14,16,23.631269841081433,5.232558139534884,78.878,107.74182798061632,27.278474183305207,Medio
Palmares          ,20701,48490,36,16,20,20.109296284458985,6.395348837209303,80.016,106.5206451216683,26.764378918863674,Medio
Palmares          ,20701,48498,31,14,17,19.786152399066356,5.426356589147287,79.323,104.53550898821364,25.928673538622775,Bajo-medio
Palmares          ,20701,48506,65,32,33,25.049145498837227,12.015503875968992,79.185,116.24964937480622,30.860108708731815,Medio
Palmares          ,20701,48514,55,22,33,18.832259757096818,10.077519379844961,78.894,107.80377913694178,27.30455446756422,Medio
Palmares          ,20701,48522,99,45,54,39.16453892531012,18.6046511627907,77.703,135.47219008810083,38.952440728321676,Alto-medio
Palmares          ,20701,48530,123,64,59,21.180555066358696,23.25581395348837,74.46,118.89636901984706,31.974328439093906,Medio
Palmares          ,20701,48538,11,6,5,25.433744259152146,1.550387596899225,76.077,103.06113185605136,25.30798819564436,Bajo-medio
Palmares          ,20701,48610,15,6,9,21.57954118080636,2.3255813953488373,80.171,104.0761225761552,25.735280405679955,Bajo-medio
Palmares          ,20701,48618,33,19,14,10.415428453237723,5.813953488372093,79.603,95.83238194160981,22.264818967042594,Bajo-medio
Palmares          ,20701,48626,28,10,18,26.188909447036114,4.844961240310078,80.942,111.97587068734619,29.06092739170362,Medio
Palmares          ,20701,48633,131,60,71,33.00746699642272,24.8062015503876,80.512,138.32566854681033,40.153702072648265,Alto-medio
Palmares          ,20701,48640,185,104,81,57.63909312062921,35.27131782945737,81.44,174.35041095008657,55.31944841157453,Alto-medio
Palmares          ,20701,48647,89,34,55,15.56348345911403,16.666666666666664,81.284,113.5141501257807,29.708514416768985,Medio
Palmares          ,20701,48654,70,37,33,21.675965298074797,12.984496124031008,80.77,115.4304614221058,30.515245821011927,Medio
Palmares          ,20701,48661,95,43,52,34.263368407659776,17.829457364341085,80.325,132.41782577200087,37.666610175361846,Medio
Palmares          ,20701,48668,67,27,40,25.245154283341943,12.4031007751938,79.935,117.58325505853574,31.421531890865463,Medio
Palmares          ,20701,48675,181,88,93,44.54662512003534,34.49612403100775,79.208,158.2507491510431,48.541790316104304,Alto-medio
Palmares          ,20701,48682,81,38,43,34.06278103765134,15.11627906976744,78.192,127.37106010741877,35.54201572179834,Medio
Palmares          ,20701,48689,124,64,60,20.053123599484046,23.449612403100776,73.915,117.41773600258483,31.351851447665908,Medio
Palmares          ,20701,48694,110,62,48,11.82659823019969,20.73643410852713,74.339,106.90203233872683,26.924935841827057,Medio
Palmares          ,20701,48699,33,17,16,7.3064115908335765,5.813953488372093,75.259,88.37936507920567,19.12723752566407,Bajo-medio
Palmares          ,20701,48704,35,19,16,7.263006321135815,6.2015503875969,76.701,90.16555670873271,19.87919097096218,Bajo-medio
Palmares          ,20701,48709,43,17,26,0.0,7.751937984496124,83.02,90.77193798449612,20.134466206797484,Bajo-medio
Palmares          ,20701,48714,61,26,35,28.086392428251155,11.24031007751938,83.805,123.13170250577053,33.75732504151887,Medio
Palmares          ,20701,48719,24,11,13,28.874567733312666,4.069767441860465,82.577,115.52133517517314,30.55350198041642,Medio
Palmares          ,20701,48724,47,22,25,12.724905172749374,8.527131782945736,82.237,103.4890369556951,25.4881282817464,Bajo-medio
Palmares          ,20701,48734,10,5,5,32.5238145623829,1.3565891472868217,82.034,115.91440370966973,30.718976520699226,Medio
Palmares          ,20701,48739,63,28,35,22.360236910139523,11.627906976744185,82.54,116.52814388688371,30.977349717138473,Medio
Palmares          ,20701,48748,26,11,15,15.690963350407422,4.457364341085271,83.666,103.8143276914927,25.625069629731172,Bajo-medio
Palmares          ,20701,48752,114,58,56,14.371045056872758,21.511627906976745,85.331,121.2136729638495,32.949870287846686,Medio
Palmares          ,20701,48756,25,12,13,25.599195565142054,4.263565891472868,83.835,113.69776145661491,29.785811371101435,Medio
Palmares          ,20701,48760,44,21,23,32.313276352696235,7.945736434108527,82.858,123.11701278680476,33.75114094312529,Medio
Palmares          ,20701,48764,38,19,19,21.155073082342092,6.782945736434108,81.627,109.5650188187762,28.046003607095688,Medio
Palmares          ,20701,48768,24,11,13,25.665614252760065,4.069767441860465,80.375,110.11038169462053,28.275591231765844,Medio
Palmares          ,20701,48776,15,10,5,19.656906609044793,2.3255813953488373,80.386,102.36848800439363,25.01639802020697,Bajo-medio
Palmares          ,20701,48780,84,39,45,38.837646715367725,15.69767441860465,80.861,135.39632113397238,38.920501310117615,Alto-medio
Palmares          ,20701,48784,77,36,41,18.34592923602546,14.34108527131783,81.529,114.21601450734329,30.00398626375539,Medio
Palmares          ,20701,48788,47,20,27,24.899354291854106,8.527131782945736,82.812,116.23848607479984,30.855409167113805,Medio
Palmares          ,20701,48792,55,26,29,16.331235527839382,10.077519379844961,83.693,110.10175490768434,28.2719595149605,Medio
Palmares          ,20701,48795,74,33,41,25.6753226320731,13.75968992248062,84.476,123.91101255455372,34.08540007358758,Medio
Palmares          ,20701,48798,29,13,16,14.764451483535993,5.038759689922481,84.758,104.56121117345847,25.939493680441306,Bajo-medio
Palmares          ,20701,48801,209,99,110,31.54975044552643,39.922480620155035,87.037,158.5092310656815,48.650606393308216,Alto-medio
Palmares          ,20701,48804,167,75,92,39.01008252031776,31.782945736434108,85.554,156.34702825675186,47.74035923688279,Alto-medio
Palmares          ,20701,48807,49,22,27,14.72382731911869,8.914728682170542,83.519,107.15755600128924,27.032506549943,Medio
Palmares          ,20701,48810,75,35,40,18.95860835126516,13.953488372093023,82.513,115.4250967233582,30.512987382645314,Medio
Palmares          ,20701,48813,43,22,21,17.292377418177292,7.751937984496124,81.274,106.31831540267342,26.679201871356916,Bajo-medio
Palmares          ,20701,48816,208,106,102,16.66888503777349,39.72868217054263,76.509,132.90656720831612,37.87236122738895,Medio
Palmares          ,20701,72794,131,60,71,38.750563327983315,24.8062015503876,77.508,141.0647648783709,41.306810669437375,Alto-medio
Palmares          ,20701,72795,90,40,50,12.823599515687686,16.86046511627907,79.464,109.14806463196675,27.870473651563504,Medio
Zaragoza          ,20702,48483,18,7,11,28.82139270179749,2.9069767441860463,72.575,104.30336944598353,25.830947110123013,Bajo-medio
Zaragoza          ,20702,48515,207,112,95,44.44232911708237,39.53488372093023,70.839,154.8162128380126,47.09591442524673,Alto-medio
Zaragoza          ,20702,48523,225,106,119,32.376727466463734,43.02325581395349,68.513,143.91298328041722,42.5058576277681,Alto-medio
Zaragoza          ,20702,48531,121,61,60,19.736764007311137,22.868217054263564,78.406,121.01098106157471,32.86454076791722,Medio
Zaragoza          ,20702,48579,89,42,47,8.174798740678673,16.666666666666664,63.411,88.25246540734534,19.073815124682472,Bajo-medio
Zaragoza          ,20702,48587,302,143,159,60.754163264771265,57.94573643410853,68.574,187.2738996988798,60.75999674316625,Alto
Zaragoza          ,20702,48595,261,124,137,44.353651481361126,50.0,71.34,165.69365148136114,51.675113727647734,Alto-medio
Zaragoza          ,20702,48603,213,106,107,24.75019958993253,40.69767441860465,79.939,145.38687400853718,43.12633820369388,Alto-medio
Zaragoza          ,20702,48611,27,13,14,11.49100111297354,4.651162790697675,83.469,99.61116390367121,23.855615871714463,Bajo-medio
Zaragoza          ,20702,48619,16,5,11,18.93260140949988,2.5193798449612403,83.406,104.85798125446112,26.064428363362435,Bajo-medio
Zaragoza          ,20702,48627,354,176,178,61.32639315292151,68.02325581395348,85.579,214.92864896687502,72.40213168947692,Alto
Zaragoza          ,20702,48634,60,35,25,20.5487593906273,11.046511627906977,86.367,117.96227101853428,31.581090558722018,Medio
Zaragoza          ,20702,48641,43,20,23,20.170189288174363,7.751937984496124,86.432,114.3541272726705,30.062129168475497,Medio
Zaragoza          ,20702,48648,245,124,121,28.39996766779925,46.89922480620155,87.794,163.0931924740008,50.58036886510525,Alto-medio
Zaragoza          ,20702,48655,279,143,136,69.61127128115106,53.48837209302325,81.482,204.58164337417432,68.04623483309636,Alto
Zaragoza          ,20702,48662,136,63,73,41.212230190102176,25.775193798449614,76.767,143.7544239885518,42.439107115767435,Alto-medio
Zaragoza          ,20702,48669,233,116,117,51.777069908158836,44.57364341085272,73.477,169.82771331901156,53.4154768502315,Alto-medio
Zaragoza          ,20702,48700,106,55,51,27.751280921559495,19.961240310077518,57.583,105.29552123163701,26.248624553655958,Bajo-medio
Zaragoza          ,20702,48705,30,12,18,9.307779164332002,5.232558139534884,58.273,72.81333730386689,12.574229426319567,Bajo
Zaragoza          ,20702,48710,90,47,43,17.8449022780377,16.86046511627907,59.715,94.42036739431677,21.670387112085802,Bajo-medio
Zaragoza          ,20702,48715,24,11,13,14.161451304084569,4.069767441860465,60.658,78.88921874594504,15.132062476294871,Bajo-medio
Zaragoza          ,20702,48720,121,60,61,25.24881219667701,22.868217054263564,63.811,111.92802925094057,29.04078703703028,Medio
Zaragoza          ,20702,48725,79,33,46,25.429816794931654,14.728682170542637,66.384,106.5424989654743,26.773578980531905,Medio
Zaragoza          ,20702,48730,205,107,98,47.05402691889175,39.14728682170542,42.481,128.68231374059718,36.09402910649282,Medio
Zaragoza          ,20702,48753,181,87,94,32.842255644298476,34.49612403100775,53.639,120.97737967530622,32.85039520942635,Medio
Zaragoza          ,20702,48757,45,22,23,15.00029744841539,8.13953488372093,46.953,70.09283233213633,11.428947446140818,Bajo
Zaragoza          ,20702,48761,30,15,15,6.353797641426964,5.232558139534884,45.276,56.86235578096185,5.8591629610204965,Bajo
Zaragoza          ,20702,48765,68,40,28,11.677736745574377,12.5968992248062,43.977,68.25163597038058,10.653838031895509,Bajo
Zaragoza          ,20702,48769,28,15,13,15.869244793104883,4.844961240310078,41.325,62.03920603341496,8.038520605953172,Bajo
Zaragoza          ,20702,48773,55,30,25,1.1813362045914646,10.077519379844961,38.618,49.87685558443643,2.918397338185967,Bajo
Zaragoza          ,20702,48777,142,72,70,36.30936955583149,26.937984496124027,35.279,98.52635405195551,23.39893110620196,Bajo-medio
Zaragoza          ,20702,48781,91,39,52,27.77688289139675,17.05426356589147,44.12,88.95114645728822,19.367946848280436,Bajo-medio
Zaragoza          ,20702,48785,57,36,21,15.46182201714586,10.465116279069768,45.097,71.02393829621563,11.820925734501984,Bajo
Zaragoza          ,20702,48793,67,31,36,18.56931100651765,12.4031007751938,47.821,78.79341178171146,15.091729526768022,Bajo-medio
Zaragoza          ,20702,48799,119,59,60,20.956371056007818,22.48062015503876,54.824,98.26099121104657,23.287218287052536,Bajo-medio
Zaragoza          ,20702,48802,246,125,121,39.574386704468196,47.093023255813954,58.407,145.07440996028214,42.99479665253378,Alto-medio
Zaragoza          ,20702,48805,63,31,32,25.373886825414658,11.627906976744185,58.705,95.70679380215884,22.211948696805273,Bajo-medio
Zaragoza          ,20702,48808,37,18,19,11.311213199597718,6.5891472868217065,58.693,76.59336048641941,14.165548861726238,Bajo
Zaragoza          ,20702,48811,73,41,32,14.924362261267824,13.565891472868216,56.551,85.04125373413603,17.721954752405047,Bajo-medio
Zaragoza          ,20702,48814,50,24,26,1.354616370400933,9.108527131782946,55.455,65.91814350218388,9.671481115632101,Bajo
Zaragoza          ,20702,48817,84,39,45,8.597816841462015,15.69767441860465,52.202,76.49749126006667,14.125189701005562,Bajo
Zaragoza          ,20702,48819,233,118,115,42.5113110059932,44.57364341085272,45.432,132.51695441684592,37.70834149062879,Medio
Zaragoza          ,20702,48821,76,45,31,14.809391494394136,14.147286821705427,38.891,67.84767831609956,10.483779374767224,Bajo
Zaragoza          ,20702,48823,51,22,29,26.43517827025902,9.30232558139535,35.979,71.71650385165437,12.112482948687816,Bajo
Zaragoza          ,20702,48825,42,28,14,27.076165312057597,7.55813953488372,30.931,65.56530484694132,9.52294260606902,Bajo
Zaragoza          ,20702,48827,123,59,64,37.56878623132751,23.25581395348837,23.635,84.45960018481588,17.477089429361868,Bajo-medio
Zaragoza          ,20702,48829,49,25,24,18.472760371203353,8.914728682170542,15.557,42.9444890533739,0.0,Bajo
Zaragoza          ,20702,48831,24,11,13,32.79229071453835,4.069767441860465,20.461,57.323058156398815,6.053110090063185,Bajo
Zaragoza          ,20702,48832,69,37,32,41.17652524756263,12.790697674418606,0.0,53.96722292198123,4.640365889128114,Bajo
Zaragoza          ,20702,48833,57,26,31,20.302457851176516,10.465116279069768,30.244,61.01157413024629,7.605906693026848,Bajo
Zaragoza          ,20702,48835,89,47,42,27.598055792406868,16.666666666666664,31.35,75.61472245907353,13.753560459027625,Bajo
Zaragoza          ,20702,48837,404,208,196,63.44261124183379,77.71317829457365,71.909,213.06478953640743,71.61748154493303,Alto
Zaragoza          ,20702,48838,185,95,90,20.110927563835254,35.27131782945737,74.462,129.84424539329262,36.58318071542552,Medio
Zaragoza          ,20702,48839,156,74,82,30.687908541037828,29.651162790697676,62.428,122.76707133173551,33.60382210093497,Medio
Zaragoza          ,20702,48840,114,54,60,17.581628182663817,21.511627906976745,66.252,105.34525608964056,26.26956200359636,Bajo-medio
Zaragoza          ,20702,48841,71,37,34,12.130042719592362,13.178294573643413,66.574,91.88233729323576,20.60192365764474,Bajo-medio
Zaragoza          ,20702,48842,129,67,62,10.175478421132375,24.418604651162788,79.069,113.66308307229517,29.77121241646771,Medio
Zaragoza          ,20702,48843,179,94,85,29.684898916884595,34.10852713178294,87.286,151.07942604866753,45.52279670700028,Alto-medio
Zaragoza          ,20702,48844,263,138,125,46.94859001508572,50.3875968992248,82.913,180.24918691431054,57.80272335028555,Alto
Zaragoza          ,20702,72796,383,190,193,100.0,73.64341085271317,24.458,198.10141085271317,65.31817750134421,Alto
Zaragoza          ,20702,72797,168,86,82,22.24541556758953,31.976744186046513,58.608,112.83015975363604,29.420567195215213,Medio
Zaragoza          ,20702,72798,147,72,75,39.50522352093835,27.906976744186046,65.761,133.1732002651244,37.9846087838006,Alto-medio
Zaragoza          ,20702,72799,138,70,68,20.012921289101328,26.16279069767442,50.476,96.65171198677575,22.609741673046944,Bajo-medio
Zaragoza          ,20702,72800,149,72,77,24.294634351839367,28.294573643410853,75.967,128.55620799525022,36.04094093380295,Medio
Buenos Aires      ,20703,48484,16,5,11,21.01136608691558,2.5193798449612403,81.949,105.47974593187682,26.3261797250969,Bajo-medio
Buenos Aires      ,20703,48492,16,7,9,15.099755749594285,2.5193798449612403,82.627,100.24613559455553,24.122927140412802,Bajo-medio
Buenos Aires      ,20703,48500,20,10,10,15.382749700682218,3.2945736434108532,82.335,101.01232334409306,24.445477928629465,Bajo-medio
Buenos Aires      ,20703,48508,16,6,10,16.834049463916266,2.5193798449612403,80.571,99.9244293088775,23.987494779242404,Bajo-medio
Buenos Aires      ,20703,48516,33,16,17,10.226245757563381,5.813953488372093,81.233,97.27319924593547,22.871376246856794,Bajo-medio
Buenos Aires      ,20703,48532,57,29,28,12.57868074662297,10.465116279069768,83.075,106.11879702569274,26.595208346535266,Bajo-medio
Buenos Aires      ,20703,48540,136,69,67,28.186341087468392,25.775193798449614,80.818,134.779534885918,38.66084577452439,Alto-medio
Buenos Aires      ,20703,48548,150,75,75,25.753866873791576,28.488372093023255,78.624,132.86623896681482,37.85538378799308,Medio
Buenos Aires      ,20703,48556,159,64,95,24.594831515638806,30.23255813953488,81.448,136.27538965517368,39.29057280314407,Alto-medio
Buenos Aires      ,20703,48564,56,27,29,19.035969154202746,10.271317829457365,83.215,112.52228698366011,29.29095848679339,Medio
Buenos Aires      ,20703,48572,230,106,124,40.08177591362651,43.992248062015506,84.096,168.170023975642,52.71762047671867,Alto-medio
Buenos Aires      ,20703,48580,208,98,110,34.38260365221177,39.72868217054263,84.648,158.7592858227544,48.7558747939579,Alto-medio
