DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
San Vito          ,60801,307,143,71,72,43.67553165176905,26.515151515151516,68.315,138.50568316692056,45.35398497290609,Alto
San Vito          ,60801,557,120,56,64,23.980824219251538,22.15909090909091,44.241,90.38091512834245,25.843403639355717,Medio
San Vito          ,60801,680,177,88,89,30.41652684959305,32.95454545454545,58.125,121.49607230413851,38.458005839576714,Alto-medio
San Vito          ,60801,1224,15,8,7,24.537243703520094,2.272727272727273,64.007,90.81697097624738,26.02018793221089,Medio
San Vito          ,60801,1236,41,19,22,30.850754132971648,7.196969696969697,16.761,54.80872382994134,11.421845680183608,Bajo-medio
San Vito          ,60801,1283,51,25,26,36.34528137397282,9.090909090909092,19.659,65.09519046488191,15.592150329859585,Bajo-medio
San Vito          ,60801,1336,164,74,90,24.65659261544694,30.492424242424242,67.43,122.57901685787118,38.89704957228394,Alto-medio
San Vito          ,60801,1889,103,55,48,39.83512304059288,18.939393939393938,59.223,117.99751697998681,37.03963332613272,Alto-medio
San Vito          ,60801,2226,103,43,60,26.688603012291416,18.939393939393938,68.189,113.81699695168535,35.34478097976239,Alto-medio
San Vito          ,60801,2565,189,84,105,26.095557948297028,35.22727272727273,55.023,116.34583067556976,36.37001222886306,Alto-medio
San Vito          ,60801,2595,17,11,6,31.318468879077532,2.6515151515151514,52.702,86.67198403059268,24.33974128850194,Medio
San Vito          ,60801,2680,28,15,13,33.72502552143046,4.734848484848484,39.049,77.50887400627894,20.624864091497457,Medio
San Vito          ,60801,2696,32,15,17,26.533112162485512,5.492424242424242,48.569,80.59453640490976,21.87584294604704,Medio
San Vito          ,60801,2786,58,24,34,30.34852029349829,10.416666666666668,65.149,105.91418696016495,32.14085037630365,Alto-medio
San Vito          ,60801,2938,283,131,152,36.57401456330479,53.03030303030303,65.185,154.78931759360782,51.95564118521248,Alto
San Vito          ,60801,3468,126,64,62,19.128174546427744,23.295454545454543,49.729,92.15262909188229,26.561685945832934,Medio
San Vito          ,60801,3685,54,30,24,20.476853326367525,9.659090909090908,15.987,46.122944235458434,7.900486177991231,Bajo
San Vito          ,60801,3773,9,3,6,33.65618138124037,1.1363636363636365,21.153,55.945545017604005,11.882731896316963,Bajo-medio
San Vito          ,60801,4391,306,159,147,37.34099812831236,57.38636363636363,62.902,157.629361764676,53.10704232539215,Alto
San Vito          ,60801,4492,42,21,21,31.1464273131275,7.386363636363637,19.338,57.87079094949114,12.663258616176885,Bajo-medio
