DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Buenos Aires      ,60301,72400,24,13,11,26.232983200032116,5.7894736842105265,41.55,73.57245688424264,15.738143082836961,Bajo-medio
Buenos Aires      ,60301,72401,129,61,68,51.56279263946284,33.421052631578945,42.347,127.3308452710418,42.66513297917492,Alto-medio
Buenos Aires      ,60301,72402,197,100,97,38.471394673203754,51.31578947368421,39.156,128.94318414688797,43.47273592119399,Alto-medio
Buenos Aires      ,60301,72863,16,9,7,20.495633558265038,3.684210526315789,39.059,63.23884408458082,10.562149237056238,Bajo
Volcán            ,60302,313,56,31,25,36.05808897856854,14.210526315789473,55.822,106.09061529435802,32.026133650123185,Medio
Volcán            ,60302,671,33,20,13,27.126320420563722,8.157894736842106,52.672,87.95621515740582,22.94281058339656,Bajo-medio
Volcán            ,60302,799,39,24,15,36.603291674354125,9.736842105263158,56.324,102.66413377961729,30.309846464139223,Medio
Volcán            ,60302,3128,60,31,29,26.82871221723827,15.263157894736842,61.385,103.4768701119751,30.716937220884443,Medio
Volcán            ,60302,3346,48,28,20,33.57823150782579,12.105263157894736,64.963,110.64649466572052,34.30812389356093,Medio
Volcán            ,60302,3670,121,65,56,44.73027522845408,31.31578947368421,56.402,132.4480647021383,45.22829233073606,Alto-medio
Volcán            ,60302,4286,44,17,27,28.081606854931103,11.052631578947368,54.837,93.97123843387848,25.955670080345115,Medio
Volcán            ,60302,4848,127,66,61,46.83422953483816,32.89473684210527,59.475,139.2039663769434,48.61224972970453,Alto-medio
Volcán            ,60302,4902,30,15,15,28.301609971264654,7.368421052631578,58.124,93.79403102389622,25.86690882314716,Medio
Volcán            ,60302,7252,37,17,20,27.475609393807325,9.210526315789473,65.01,101.6961357095968,29.824986797893782,Medio
Volcán            ,60302,9008,116,64,52,38.12167543484255,30.0,61.057,129.17867543484255,43.590690936619744,Alto-medio
Volcán            ,60302,9467,163,88,75,58.94590375497608,42.368421052631575,64.027,165.34132480760763,61.704167242475116,Alto
Volcán            ,60302,11293,208,105,103,53.21085672472656,54.21052631578947,56.324,163.74538304051603,60.90477743323426,Alto
Volcán            ,60302,11831,25,17,8,30.461811797495486,6.052631578947368,48.437,84.95144337644285,21.437753199521204,Bajo-medio
Volcán            ,60302,14748,61,31,30,32.62129273461857,15.526315789473685,52.252,100.39960852409226,29.17557048404868,Medio
Volcán            ,60302,14869,264,132,132,62.598986260494726,68.94736842105263,56.817,188.36335468154738,73.23565068927039,Alto
Volcán            ,60302,15947,16,8,8,29.121258856478004,3.684210526315789,50.287,83.0924693827938,20.506613419355567,Bajo-medio
Volcán            ,60302,15991,17,11,6,26.633846656439363,3.9473684210526314,61.953,92.534215077492,25.235880768213832,Bajo-medio
Volcán            ,60302,16749,57,27,30,23.674148925376894,14.473684210526317,62.257,100.4048331359032,29.178187435070974,Medio
Volcán            ,60302,16809,105,52,53,37.52302415799059,27.105263157894736,57.041,121.66928731588533,39.829320403114416,Alto-medio
Volcán            ,60302,17188,21,10,11,25.19708348350645,5.0,64.715,94.91208348350645,26.426929095088443,Medio
Volcán            ,60302,17208,106,55,51,33.10587408618637,27.368421052631582,52.434,112.90829513881795,35.44103505987823,Medio
Volcán            ,60302,17641,67,37,30,26.05332613823757,17.105263157894736,51.04,94.1985892961323,26.06954764540128,Medio
Volcán            ,60302,17978,122,70,52,48.89163421577592,31.57894736842105,53.943,134.41358158419698,46.21279828064418,Alto-medio
Volcán            ,60302,18531,46,26,20,33.39254728977698,11.578947368421053,60.46,105.43149465819803,31.695987318677243,Medio
Volcán            ,60302,20536,144,65,79,37.511320983481674,37.368421052631575,71.951,146.83074203611324,52.43241840065619,Alto
Volcán            ,60302,20915,100,49,51,39.507452629825025,25.789473684210527,75.635,140.93192631403554,49.47776599913908,Alto-medio
Volcán            ,60302,22266,35,17,18,26.050236000094053,8.68421052631579,54.043,88.77744652640985,23.354156411262885,Bajo-medio
Volcán            ,60302,22599,117,63,54,47.143404799561516,30.263157894736842,62.563,139.96956269429836,48.995728567532794,Alto-medio
Volcán            ,60302,22989,21,10,11,30.916819116154144,5.0,56.977,92.89381911615413,25.41600250560795,Bajo-medio
Volcán            ,60302,23409,102,58,44,32.44886028358873,26.31578947368421,56.477,115.24164975727294,36.6097869164934,Medio
Volcán            ,60302,25588,37,23,14,24.314532759463454,9.210526315789473,53.762,87.28705907525293,22.607637606603443,Bajo-medio
Volcán            ,60302,26647,63,34,29,36.39079710776807,16.05263157894737,58.408,110.85142868671545,34.41077310754112,Medio
Volcán            ,60302,27069,22,11,11,27.08319214156849,5.263157894736842,66.114,98.46035003630533,28.20421707718485,Medio
Volcán            ,60302,28234,77,38,39,23.221569550045693,19.736842105263158,55.252,98.21041165530886,28.079025670564267,Medio
Volcán            ,60302,29214,23,10,13,28.296337623923034,5.526315789473684,49.267,83.08965341339672,20.50520293102474,Bajo-medio
Volcán            ,60302,31376,32,15,17,28.11088223142591,7.894736842105263,55.146,91.15161907353118,24.543353522763297,Bajo-medio
Volcán            ,60302,31878,49,27,22,28.46629493338675,12.368421052631579,64.456,105.29071598601833,31.625472818574895,Medio
Volcán            ,60302,32340,38,18,20,30.356039934991585,9.473684210526317,54.687,94.5167241455179,26.228897918579907,Medio
Volcán            ,60302,32684,100,44,56,34.09021041092834,25.789473684210527,67.041,126.92068409513887,42.459687723637444,Alto-medio
Volcán            ,60302,33190,100,61,39,46.02793005804094,25.789473684210527,56.736,128.55340374225145,43.27749917149977,Alto-medio
Volcán            ,60302,34738,17,8,9,24.726990227321327,3.9473684210526314,65.991,94.66535864837395,26.303347318510856,Medio
Volcán            ,60302,34934,46,26,20,26.726835519344334,11.578947368421053,72.176,110.48178288776539,34.22562156203837,Medio
Volcán            ,60302,36596,5,4,1,29.590767387072148,0.7894736842105263,51.426,81.80624107128267,19.86235569906742,Bajo-medio
Volcán            ,60302,70139,142,76,66,45.89862227338123,36.84210526315789,68.06,150.8007275365391,54.420940799977714,Alto
Volcán            ,60302,70140,127,61,66,46.63197611959406,32.89473684210527,49.516,129.04271296169932,43.522588818039345,Alto-medio
Volcán            ,60302,70141,174,77,97,46.934913506085444,45.26315789473684,56.453,148.65107140082227,53.344201508044954,Alto
Volcán            ,60302,70142,139,79,60,43.920713201308004,36.05263157894737,56.412,136.38534478025537,47.200432941047666,Alto-medio
Volcán            ,60302,70143,116,57,59,50.53443714669734,30.0,55.162,135.69643714669735,46.85536662777102,Alto-medio
Potrero Grande    ,60303,149,27,17,10,33.06813273849316,6.578947368421052,75.727,115.37408010691422,36.67611983296965,Medio
Potrero Grande    ,60303,265,18,9,9,21.693818101455523,4.2105263157894735,59.458,85.362344417245,21.643569045310045,Bajo-medio
Potrero Grande    ,60303,577,93,42,51,21.714184047073566,23.94736842105263,99.45,145.1115524681262,51.57129511336576,Alto
Potrero Grande    ,60303,926,35,15,20,32.56571159811902,8.68421052631579,75.487,116.73692212443481,37.35875252225416,Alto-medio
Potrero Grande    ,60303,1875,79,37,42,34.58622581268222,20.263157894736842,98.939,153.78838370741906,55.917425161602864,Alto
Potrero Grande    ,60303,2343,16,6,10,26.52648680454517,3.684210526315789,89.633,119.84369733086095,38.914902308436595,Alto-medio
Potrero Grande    ,60303,3039,13,7,6,25.223116127159155,2.8947368421052633,77.794,105.91185296926442,31.936593552919984,Medio
Potrero Grande    ,60303,3237,28,14,14,24.9658355076451,6.842105263157896,78.266,110.073940770803,34.02133789780852,Medio
Potrero Grande    ,60303,3382,38,18,20,34.86460092655741,9.473684210526317,30.924,75.26228513708372,16.584559607889855,Bajo-medio
Potrero Grande    ,60303,4212,17,10,7,26.69427826645463,3.9473684210526314,60.066,90.70764668750726,24.320972601172006,Bajo-medio
Potrero Grande    ,60303,4468,9,4,5,30.456551974572992,1.8421052631578945,82.142,114.44065723773087,36.20857850738774,Medio
Potrero Grande    ,60303,4810,28,13,15,29.941455070511847,6.842105263157896,28.553,65.33656033366974,11.612872406772235,Bajo
Potrero Grande    ,60303,5010,22,11,11,25.143435627089584,5.263157894736842,64.798,95.20459352182642,26.573444180134288,Medio
Potrero Grande    ,60303,5119,54,25,29,28.832141134304273,13.684210526315791,99.614,142.13035166062008,50.07804417278541,Alto-medio
Potrero Grande    ,60303,5394,58,32,26,28.91264830851955,14.736842105263156,45.072,88.7214904137827,23.32612860528573,Bajo-medio
Potrero Grande    ,60303,5717,36,20,16,28.886425261972793,8.947368421052632,90.053,127.88679368302542,42.94360146979738,Alto-medio
Potrero Grande    ,60303,6296,29,17,12,34.8274186626473,7.105263157894736,97.75,139.68268182054203,48.85203306956682,Alto-medio
Potrero Grande    ,60303,6524,120,66,54,56.87919317832297,31.05263157894737,84.683,172.61482475727036,65.34738396702403,Alto
Potrero Grande    ,60303,7009,86,43,43,47.290855536650085,22.105263157894736,74.897,144.29311869454483,51.16135057050705,Alto-medio
Potrero Grande    ,60303,7112,68,31,37,37.68118763964966,17.36842105263158,62.724,117.77360869228124,37.87801750723136,Alto-medio
Potrero Grande    ,60303,7286,21,9,12,24.685360829885095,5.0,75.172,104.8573608298851,31.40840995153421,Medio
Potrero Grande    ,60303,7428,35,18,17,32.59692025497518,8.68421052631579,79.684,120.96513078129097,39.47661608177134,Alto-medio
Potrero Grande    ,60303,7573,42,18,24,34.67216923407347,10.526315789473683,76.15,121.34848502354717,39.66863403687965,Alto-medio
Potrero Grande    ,60303,8044,121,55,66,45.365429964880036,31.31578947368421,85.452,162.13321943856425,60.09726228399553,Alto
Potrero Grande    ,60303,8201,94,41,53,46.75851223440256,24.210526315789473,70.062,141.03103855019202,49.52741023628375,Alto-medio
Potrero Grande    ,60303,8523,37,23,14,33.31323337692273,9.210526315789473,60.859,103.3827596927122,30.66979833922008,Medio
Potrero Grande    ,60303,8563,14,6,8,31.83947705387376,3.1578947368421053,75.341,110.33837179071585,34.153788509055275,Medio
Potrero Grande    ,60303,8921,21,11,10,29.787959515494194,5.0,36.61,71.3979595154942,14.648961088454834,Bajo
Potrero Grande    ,60303,9095,39,21,18,38.86193865204358,9.736842105263158,81.022,129.62078075730673,43.81213666645552,Alto-medio
Potrero Grande    ,60303,9134,47,22,25,37.05413604076361,11.842105263157894,75.926,124.8222413039215,41.40860063690051,Alto-medio
Potrero Grande    ,60303,9518,107,47,60,42.43927613577275,27.631578947368425,64.699,134.76985508314118,46.39125178705099,Alto-medio
Potrero Grande    ,60303,9549,22,10,12,26.41551383817905,5.263157894736842,97.578,129.2566717329159,43.62975843088801,Alto-medio
Potrero Grande    ,60303,10163,83,51,32,40.93486166904926,21.31578947368421,44.45,106.70065114273348,32.3316939471957,Medio
Potrero Grande    ,60303,10698,21,11,10,30.405374347249154,5.0,60.405,95.81037434724915,26.876873182659196,Medio
Potrero Grande    ,60303,11076,186,94,92,66.1996239260643,48.421052631578945,61.269,175.88967655764324,66.98772148432764,Alto
Potrero Grande    ,60303,11450,162,84,78,61.16516892436981,42.10526315789473,66.753,170.02343208226455,64.04938366472219,Alto
Potrero Grande    ,60303,11667,83,40,43,50.772992086419265,21.31578947368421,74.123,146.21178156010347,52.12238785502622,Alto
Potrero Grande    ,60303,11693,123,64,59,53.99803662493166,31.842105263157894,71.401,157.24114188808954,57.64687404270516,Alto
Potrero Grande    ,60303,12774,72,36,36,40.216314679328875,18.421052631578945,51.168,109.80536731090783,33.88681238359504,Medio
Potrero Grande    ,60303,14499,53,31,22,34.51677191005073,13.421052631578947,60.077,108.01482454162968,32.98994905669604,Medio
Potrero Grande    ,60303,14782,24,12,12,31.38389130674199,5.7894736842105265,60.086,97.25936499095252,27.602656778368136,Medio
Potrero Grande    ,60303,15109,82,41,41,40.34156258783409,21.052631578947366,69.134,130.52819416678147,44.26665013759835,Alto-medio
Potrero Grande    ,60303,15537,16,7,9,26.66605327898257,3.684210526315789,97.786,128.13626380529837,43.068558330735044,Alto-medio
Potrero Grande    ,60303,15591,56,28,28,30.48206280574576,14.210526315789473,59.763,104.45558912153524,31.207166888711523,Medio
Potrero Grande    ,60303,15658,13,7,6,29.37241190977145,2.8947368421052633,85.252,117.51914875187671,37.75056130086231,Alto-medio
Potrero Grande    ,60303,16496,25,13,12,31.76491711486291,6.052631578947368,98.215,136.03254869381027,47.02372123260093,Alto-medio
Potrero Grande    ,60303,16664,13,7,6,26.44652212292001,2.8947368421052633,98.485,127.82625896502527,42.91328029037065,Alto-medio
Potrero Grande    ,60303,17175,91,52,39,77.31110278871782,23.42105263157895,64.595,165.32715542029678,61.69706995104942,Alto
Potrero Grande    ,60303,17176,111,55,56,46.04289044041029,28.68421052631579,82.463,157.19010096672608,57.62130820237592,Alto
Potrero Grande    ,60303,17304,14,9,5,29.78826005952959,3.1578947368421053,66.859,99.80515479637168,28.87781510111196,Medio
Potrero Grande    ,60303,18166,126,66,60,51.58085836399818,32.631578947368425,34.09,118.30243731136662,38.14290198964086,Alto-medio
Potrero Grande    ,60303,18320,86,45,41,43.079293446549094,22.105263157894736,58.739,123.92355660444383,40.95845928130938,Alto-medio
Potrero Grande    ,60303,18441,44,19,25,39.41514840772199,11.052631578947368,73.726,124.19377998666937,41.09381122360697,Alto-medio
Potrero Grande    ,60303,18624,7,5,2,24.503317084319605,1.3157894736842104,69.846,95.66510655800381,26.80411013282355,Medio
Potrero Grande    ,60303,19015,69,35,34,38.67846023808903,17.63157894736842,59.516,115.82603918545746,36.902501201658154,Medio
Potrero Grande    ,60303,19401,59,28,31,29.706030522557093,15.0,63.573,108.2790305225571,33.122286948371595,Medio
Potrero Grande    ,60303,20494,25,9,16,28.880551826560374,6.052631578947368,96.411,131.34418340550775,44.67537023963359,Alto-medio
Potrero Grande    ,60303,22518,11,6,5,23.928379523135423,2.368421052631579,58.556,84.85280057576699,21.388344097484254,Bajo-medio
Potrero Grande    ,60303,23466,17,7,10,23.287711507493285,3.9473684210526314,99.822,127.05707992854592,42.52800690764327,Alto-medio
Potrero Grande    ,60303,23680,31,12,19,34.826544623067264,7.631578947368421,76.84,119.29812357043569,38.64163036752614,Alto-medio
Potrero Grande    ,60303,23691,123,66,57,71.75395615104262,31.842105263157894,69.195,172.7910614142005,65.43565898461529,Alto
Potrero Grande    ,60303,23815,12,6,6,29.00804822821178,2.631578947368421,78.451,110.0906271755802,34.029695935806394,Medio
Potrero Grande    ,60303,24315,51,25,26,32.29688448017398,12.894736842105264,70.25,115.44162132227925,36.7099504904409,Medio
Potrero Grande    ,60303,24771,168,90,78,54.38024646967181,43.684210526315795,72.064,170.1284569959876,64.10198949751495,Alto
Potrero Grande    ,60303,25031,24,12,12,25.39673570640027,5.7894736842105265,77.627,108.8132093906108,33.389851312084005,Medio
Potrero Grande    ,60303,26052,18,9,9,27.357582016269312,4.2105263157894735,99.398,130.96610833205878,44.485996562551456,Alto-medio
Potrero Grande    ,60303,26075,31,17,14,22.684548958837045,7.631578947368421,78.594,108.91012790620546,33.43839673854673,Medio
