DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Jacó             ,61101,54,112,51,61,24.76891344426984,17.1875,71.869,113.82541344426984,38.435448127430625,Alto-medio
Jacó             ,61101,101,58,30,28,10.67460031775074,8.75,80.302,99.72660031775075,32.8400648554556,Alto-medio
Jacó             ,61101,213,56,28,28,9.04790012586487,8.4375,68.641,86.12640012586488,27.44256564993362,Medio
Jacó             ,61101,402,156,90,66,21.69766624953925,24.0625,39.856,85.61616624953925,27.240069590813764,Medio
Jacó             ,61101,458,59,33,26,11.47038934542742,8.90625,78.227,98.60363934542742,32.394396345402086,Alto-medio
Jacó             ,61101,640,7,6,1,22.784827512842355,0.78125,81.84,105.40607751284236,35.09407385648314,Alto-medio
Jacó             ,61101,658,36,13,23,14.602938225727232,5.3125,37.696,57.61143822572723,16.125858393425155,Bajo-medio
Jacó             ,61101,821,93,49,44,31.094271094376257,14.21875,69.262,114.57502109437625,38.73294424063612,Alto-medio
Jacó             ,61101,977,32,12,20,15.996645424177439,4.6875,68.968,89.65214542417743,28.841825012150114,Medio
Jacó             ,61101,1041,45,25,20,15.39644483089492,6.71875,39.314,61.42919483089492,17.641008020087497,Bajo-medio
Jacó             ,61101,1314,23,10,13,21.808921998462974,3.28125,40.131,65.22117199846298,19.145926584559597,Medio
Jacó             ,61101,1830,25,10,15,22.60362615043901,3.5937499999999996,53.151,79.34837615043901,24.752577377246503,Medio
Jacó             ,61101,1925,83,39,44,11.161435870469399,12.65625,45.719,69.5366858704694,20.858620689567754,Medio
Jacó             ,61101,2317,41,21,20,14.577749538641676,6.09375,38.243,58.91449953864168,16.643003163499817,Bajo-medio
Jacó             ,61101,2567,22,12,10,22.162123430362442,3.125,38.707,63.99412343036244,18.658948924082885,Bajo-medio
Jacó             ,61101,2978,64,14,50,12.09818145080755,9.6875,70.078,91.86368145080755,29.719515323932512,Medio
Jacó             ,61101,3399,48,22,26,17.366824024932185,7.187499999999999,53.293,77.84732402493219,24.156856171634843,Medio
Jacó             ,61101,3433,642,311,331,100.0,100.0,68.951,268.951,100.0,Alto
Jacó             ,61101,3834,36,17,19,16.10946447486751,5.3125,41.791,63.212964474867505,18.348931072714354,Bajo-medio
Jacó             ,61101,4053,12,6,6,18.169273876425944,1.5625,65.267,84.99877387642594,26.995045635551506,Medio
Jacó             ,61101,4506,296,152,144,31.21375432236918,45.9375,68.87,146.0212543223692,51.21298250992686,Alto
Jacó             ,61101,4648,32,18,14,18.475654831806697,4.6875,37.373,60.5361548318067,17.286588039677657,Bajo-medio
Jacó             ,61101,4792,28,15,13,16.280684943675652,4.0625,36.327,56.67018494367565,15.75230405081339,Bajo-medio
Jacó             ,61101,4842,4,4,0,22.784827512842355,0.3125,81.939,105.03632751284235,34.947331506879166,Alto-medio
Jacó             ,61101,6814,50,29,21,16.366739033445043,7.5,53.364,77.23073903344505,23.912152641191653,Medio
Jacó             ,61101,7275,144,77,67,36.08659677746932,22.1875,37.271,95.54509677746933,31.180555310145984,Alto-medio
Jacó             ,61101,7771,106,51,55,14.764726526188992,16.25,37.243,68.257726526189,20.35104124608523,Medio
Jacó             ,61101,8265,5,1,4,22.784827512842355,0.46875,78.213,101.46657751284235,33.530608038322605,Alto-medio
Jacó             ,61101,8311,125,70,55,30.776408351254243,19.21875,36.275,86.27015835125425,27.499618847414443,Medio
Jacó             ,61101,8570,253,119,134,39.503756323458134,39.21875,80.053,158.77550632345813,56.274751018597534,Alto
Jacó             ,61101,8727,113,62,51,22.748276403413133,17.34375,30.052,70.14402640341314,21.099655380071862,Medio
Jacó             ,61101,8766,25,16,9,19.27321794619789,3.5937499999999996,78.98,101.84696794619789,33.681573247132526,Alto-medio
Jacó             ,61101,8843,217,102,115,38.894837818433345,33.59375,37.485,109.97358781843334,36.906777559208734,Alto-medio
Jacó             ,61101,8860,23,14,9,14.87205693170916,3.28125,82.255,100.40830693170915,33.110613145578185,Alto-medio
Jacó             ,61101,9107,33,16,17,7.846263066528358,4.84375,38.131,50.82101306652836,13.430948474099175,Bajo-medio
Jacó             ,61101,9231,121,65,56,27.03239273838212,18.59375,42.152,87.77814273838212,28.09809125345434,Medio
Jacó             ,61101,9697,13,7,6,16.728338986990842,1.7187500000000002,37.474,55.92108898699084,15.455011012915442,Bajo-medio
Jacó             ,61101,9883,229,105,124,45.62374196685043,35.46875,38.447,119.53949196685043,40.7031893261462,Alto
Jacó             ,61101,9948,173,88,85,22.996620350090044,26.718750000000004,69.201,118.91637035009003,40.455891611115916,Alto
Jacó             ,61101,10401,27,15,12,20.67720749886835,3.90625,86.084,110.66745749886834,37.182152994573144,Alto-medio
Jacó             ,61101,10435,40,20,20,17.833225682402603,5.9375,83.809,107.5797256824026,35.95672764854169,Alto-medio
Jacó             ,61101,10551,42,25,17,22.360812521151836,6.25,49.807,78.41781252115183,24.383265427503154,Medio
