DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Corredor          ,61001,48,13,6,7,17.11812597517961,0.9987515605493134,59.871,77.98787753572893,24.84786882546878,Medio
Corredor          ,61001,58,73,35,38,24.070947595546567,8.489388264669163,57.869,90.42933586021573,30.15317274965195,Alto-medio
Corredor          ,61001,106,27,10,17,27.786827306312844,2.746566791510612,60.386,90.91939409782346,30.362144063403935,Alto-medio
Corredor          ,61001,306,43,19,24,27.782994888426195,4.7440699126092385,71.682,104.20906480103544,36.02914388721767,Alto-medio
Corredor          ,61001,847,103,45,58,21.445223893569796,12.234706616729088,66.659,100.3389305102989,34.37883585223839,Alto-medio
Corredor          ,61001,861,29,16,13,17.00365587440228,2.9962546816479403,60.871,80.87091055605022,26.077255766881947,Medio
Corredor          ,61001,925,61,32,29,30.136568011121433,6.991260923845194,62.076,99.20382893496662,33.894804263264255,Alto-medio
Corredor          ,61001,1387,806,416,390,100.0,100.0,54.227,254.227,100.0,Alto
Corredor          ,61001,1409,49,15,34,16.374785677996197,5.493133583021224,62.05,83.91791926101742,27.376565447296723,Alto-medio
Corredor          ,61001,1641,88,42,46,25.242266145066438,10.362047440699126,60.137,95.74131358576557,32.41831366300188,Alto-medio
Corredor          ,61001,1895,130,65,65,27.521464292919646,15.605493133583021,52.552,95.67895742650268,32.39172366303513,Alto-medio
Corredor          ,61001,1919,56,29,27,13.844935775570494,6.367041198501873,59.849,80.06097697407236,25.731882764881224,Medio
Corredor          ,61001,2195,30,14,16,12.705592001730215,3.1210986267166043,76.434,92.26069062844681,30.934101591357383,Alto-medio
Corredor          ,61001,2329,99,49,50,12.652012183734179,11.735330836454432,61.279,85.6663430201886,28.122130733032524,Alto-medio
Corredor          ,61001,2467,17,7,10,22.362878453952,1.4981273408239701,59.794,83.65500579477597,27.264453522167653,Medio
Corredor          ,61001,2577,53,22,31,28.501395090417248,5.992509363295881,100.0,134.49390445371313,48.94324723926474,Alto
Corredor          ,61001,3124,27,13,14,17.357895393695415,2.746566791510612,58.162,78.26646218520602,24.966663278300658,Medio
Corredor          ,61001,3280,19,12,7,24.26136368688711,1.7478152309612984,59.46,85.46917891784841,28.03805574290096,Alto-medio
Corredor          ,61001,3605,72,31,41,12.671259117687129,8.3645443196005,61.874,82.90980343728762,26.94668329874358,Medio
Corredor          ,61001,3674,255,89,166,33.72025179893563,31.210986267166042,71.682,136.61323806610167,49.84697641933432,Alto
Corredor          ,61001,3826,15,8,7,20.149213477842334,1.2484394506866416,60.168,81.56565292852898,26.37350877347311,Medio
Corredor          ,61001,3836,87,40,47,17.67266186710245,10.237203495630462,61.65,89.5598653627329,29.782411933520102,Alto-medio
Corredor          ,61001,4088,28,12,16,23.614129613643005,2.871410736579276,48.819,75.30454035022228,23.70363645906231,Medio
Corredor          ,61001,4151,55,25,30,11.796822340084649,6.242197253433209,60.867,78.90601959351785,25.239384235889617,Medio
Corredor          ,61001,4250,28,15,13,31.60949973718002,2.871410736579276,80.789,115.2699104737593,40.74572504851066,Alto
Corredor          ,61001,4714,108,53,55,29.521781960952186,12.85892634207241,60.417,102.79770830302459,35.427311290746125,Alto-medio
Corredor          ,61001,4817,279,143,136,60.30101763369012,34.20724094881398,36.102,130.61025858250412,47.28717757738989,Alto
Corredor          ,61001,5840,122,59,63,15.86900543926898,14.606741573033707,60.833,91.30874701230269,30.5281724735151,Alto-medio
Corredor          ,61001,5867,88,43,45,12.480711102965682,10.362047440699126,62.617,85.4597585436648,28.034038693868595,Alto-medio
Corredor          ,61001,6252,180,92,88,17.08251558569483,21.84769038701623,59.556,98.48620597271105,33.58879448382825,Alto-medio
