DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Santa Cruz        ,50301,38544,89,44,45,18.011086353176523,17.52988047808765,91.222,126.76296683126417,39.069420687090236,Alto-medio
Santa Cruz        ,50301,38570,39,21,18,31.31742644495018,7.569721115537849,41.485,80.37214756048803,22.246534100454394,Bajo-medio
Santa Cruz        ,50301,38585,46,25,21,19.284854452826053,8.964143426294822,90.969,119.21799787912087,36.333358703775495,Alto-medio
Santa Cruz        ,50301,38605,53,24,29,13.403185026222857,10.358565737051793,91.077,114.83875076327465,34.74529497214094,Alto-medio
Santa Cruz        ,50301,38613,59,24,35,12.043889831728139,11.553784860557768,93.49,117.0876746922859,35.56083116646637,Alto-medio
Santa Cruz        ,50301,38616,18,9,9,22.40250898529307,3.386454183266932,91.346,117.13496316856,35.57797957396853,Alto-medio
Santa Cruz        ,50301,38679,59,30,29,14.336211695580591,11.553784860557768,91.367,117.25699655613836,35.622233024786695,Alto-medio
Santa Cruz        ,50301,38731,47,20,27,29.389228859778292,9.163346613545817,92.965,131.51757547332411,40.79360325610988,Alto-medio
Santa Cruz        ,50301,38832,58,28,30,21.968348299236517,11.354581673306772,78.754,112.0769299725433,33.74376495681838,Medio
Santa Cruz        ,50301,38850,59,30,29,7.950431833115233,11.553784860557768,89.463,108.967216693673,32.616077310216596,Medio
Santa Cruz        ,50301,38884,51,24,27,18.558641721307804,9.9601593625498,91.729,120.24780108385761,36.70680031985736,Alto-medio
Santa Cruz        ,50301,38898,68,33,35,12.920585439709631,13.346613545816732,92.155,118.42219898552636,36.0447749981382,Alto-medio
Santa Cruz        ,50301,38909,50,22,28,6.419850495468389,9.760956175298805,89.481,105.66180667076719,31.41742337799981,Medio
Santa Cruz        ,50301,38912,54,25,29,11.037889756241475,10.557768924302788,93.314,114.90965868054425,34.77100859110849,Alto-medio
Santa Cruz        ,50301,38939,48,17,31,11.456762861919097,9.362549800796813,91.389,112.20831266271591,33.79140878227704,Medio
Santa Cruz        ,50301,38958,80,43,37,27.47335764137933,15.737051792828685,89.719,132.92940943420803,41.305582198850246,Alto-medio
Santa Cruz        ,50301,38961,110,49,61,17.283167316638114,21.713147410358566,75.071,114.06731472699667,34.46554606597485,Medio
Santa Cruz        ,50301,38977,7,6,1,19.04691568892848,1.1952191235059761,91.839,112.08113481243446,33.74528977456715,Medio
Santa Cruz        ,50301,39042,48,17,31,26.1224781649872,9.362549800796813,93.442,128.92702796578402,39.85418275003374,Alto-medio
Santa Cruz        ,50301,39043,45,25,20,16.47055982496225,8.764940239043826,84.56,109.79550006400608,32.91644099035293,Medio
Santa Cruz        ,50301,39063,85,39,46,19.684197606010557,16.733067729083665,92.181,128.59826533509423,39.734962254751345,Alto-medio
Santa Cruz        ,50301,39097,72,30,42,16.838089656466927,14.143426294820719,89.72,120.70151595128765,36.871332739793615,Alto-medio
Santa Cruz        ,50301,39123,100,47,53,24.130611004598354,19.721115537848604,90.141,133.99272654244697,41.6911770945369,Alto-medio
Santa Cruz        ,50301,39130,38,21,17,14.096210384420232,7.370517928286853,91.974,113.44072831270708,34.23832455210603,Medio
Santa Cruz        ,50301,39194,38,19,19,10.116807886230996,7.370517928286853,90.579,108.06632581451784,32.28938368149448,Medio
Santa Cruz        ,50301,39211,28,14,14,19.41967201251743,5.378486055776892,74.575,99.37315806829433,29.136945820466114,Medio
Santa Cruz        ,50301,39233,71,35,36,14.15099622974138,13.94422310756972,80.034,108.1292193373111,32.312191008841054,Medio
Santa Cruz        ,50301,39303,142,69,73,22.128989193526383,28.087649402390436,94.381,144.5976385959168,45.53687836778767,Alto
Santa Cruz        ,50301,39331,68,26,42,21.55802693138374,13.346613545816732,90.236,125.14064047720048,38.48111005386725,Alto-medio
Santa Cruz        ,50301,39406,11,5,6,22.037971841299825,1.9920318725099602,70.13,94.16000371380977,27.246479003050638,Medio
Santa Cruz        ,50301,39409,115,51,64,26.432829778407797,22.709163346613543,92.49,141.63199312502132,44.46143460116996,Alto
Santa Cruz        ,50301,39410,79,33,46,13.240453689760093,15.53784860557769,89.981,118.75930229533778,36.16702010693518,Alto-medio
Santa Cruz        ,50301,39443,30,18,12,27.78605893270265,5.776892430278884,43.638,77.20095136298153,21.09655065948012,Bajo-medio
Santa Cruz        ,50301,39462,80,36,44,16.756802885850487,15.737051792828685,90.022,122.51585467867918,37.529273580684865,Alto-medio
Santa Cruz        ,50301,39505,26,10,16,22.214530362735083,4.9800796812749,91.399,118.59361004400998,36.10693446938473,Alto-medio
Santa Cruz        ,50301,39552,27,11,16,13.02605229381461,5.179282868525896,92.413,110.6183351623405,33.21482894202904,Medio
Santa Cruz        ,50301,39557,67,37,30,19.185591041662185,13.147410358565736,74.173,106.50600140022792,31.723557057335366,Medio
Santa Cruz        ,50301,39594,100,46,54,29.085387776421033,19.721115537848604,93.187,141.99350331426962,44.59253047335406,Alto
Santa Cruz        ,50301,39595,23,14,9,17.7551258232084,4.382470119521913,91.919,114.05659594273031,34.4616590707699,Medio
Santa Cruz        ,50301,39602,15,5,10,18.195254115185616,2.788844621513944,93.594,114.57809873669956,34.65077369507412,Alto-medio
