DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Buenos Aires      ,60301,38556,134,60,74,37.32083800339085,34.73684210526316,71.262,143.319680108654,48.46274858634605,Alto-medio
Buenos Aires      ,60301,38596,91,35,56,40.19415619843454,23.42105263157895,61.489,125.10420883001348,40.83592040812666,Alto-medio
Buenos Aires      ,60301,38604,31,13,18,20.481615535532285,7.631578947368421,71.423,99.53619448290071,30.13057826788033,Bajo-medio
Buenos Aires      ,60301,38696,83,39,44,24.61486376279633,21.31578947368421,71.473,117.40365323648054,37.611693404043066,Medio
Buenos Aires      ,60301,38698,117,53,64,25.456305329772317,30.263157894736842,70.61,126.32946322450915,41.34893511954863,Alto-medio
Buenos Aires      ,60301,38707,94,49,45,36.00222748664746,24.210526315789473,70.453,130.66575380243694,43.1645424493171,Alto-medio
Buenos Aires      ,60301,38727,17,9,8,29.380631670503643,3.9473684210526314,36.612,69.94000009155627,17.738634853457135,Bajo
Buenos Aires      ,60301,38738,74,41,33,23.017006869206725,18.947368421052634,71.206,113.17037529025936,35.83921752172354,Medio
Buenos Aires      ,60301,38864,44,28,16,15.577850155840721,11.052631578947368,69.527,96.15748173478809,28.715909319752104,Bajo-medio
Buenos Aires      ,60301,38920,83,38,45,29.429442400512723,21.31578947368421,66.181,116.92623187419693,37.41179680828394,Medio
Buenos Aires      ,60301,38948,69,34,35,38.371645232374995,17.63157894736842,80.262,136.26522417974343,45.509043879089226,Alto-medio
Buenos Aires      ,60301,39038,92,46,46,25.028293978152526,23.684210526315788,70.135,118.84750450446832,38.21623475064878,Medio
Buenos Aires      ,60301,39051,43,17,26,19.433778761853706,10.789473684210527,69.296,99.51925244606424,30.123484627426883,Bajo-medio
Buenos Aires      ,60301,39066,105,60,45,52.21249537317897,27.105263157894736,80.786,160.1037585310737,55.490251762048025,Alto
Buenos Aires      ,60301,39091,40,19,21,28.194136350218457,10.0,65.319,103.51313635021846,31.795726088259052,Medio
Buenos Aires      ,60301,39118,38,19,19,14.334313838181215,9.473684210526317,69.24,93.04799804870753,27.413966732929136,Bajo-medio
Buenos Aires      ,60301,39135,21,7,14,19.309131941419288,5.0,70.402,94.7111319414193,28.110321839149172,Bajo-medio
Buenos Aires      ,60301,39208,91,40,51,36.15696491731724,23.42105263157895,69.401,128.9790175488962,42.45830502120215,Alto-medio
