DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Matina            ,70501,354,29,15,14,32.94282611498673,4.761904761904762,32.227,69.93173087689149,22.406450286424914,Medio
Matina            ,70501,372,29,12,17,28.84272258532502,4.761904761904762,77.739,111.34362734722978,43.759048620435195,Alto-medio
Matina            ,70501,1106,95,53,42,31.70409927889441,16.402116402116402,88.759,136.8652156810108,56.918364444754346,Alto
Matina            ,70501,1149,29,14,15,30.426607581554325,4.761904761904762,31.742,66.93051234345909,20.85897675058068,Medio
Matina            ,70501,1210,84,39,45,26.775017413900404,14.462081128747794,29.58,70.8170985426482,22.862959206714617,Medio
Matina            ,70501,1740,77,40,37,40.5925464124637,13.227513227513226,18.5,72.32005963997693,23.637908613967436,Medio
Matina            ,70501,2283,72,34,38,43.4737538965792,12.345679012345679,74.519,130.3384329089249,53.55305682003569,Alto
Matina            ,70501,2456,30,13,17,31.036019606394134,4.938271604938271,73.016,108.99029121133242,42.54563301917868,Alto-medio
Matina            ,70501,2463,16,9,7,34.1513647294405,2.4691358024691357,60.749,97.36950053190964,36.553778097029586,Alto-medio
Matina            ,70501,2792,49,28,21,28.62408509509951,8.289241622574956,56.66,93.57332671767446,34.596413630045795,Alto-medio
Matina            ,70501,2946,202,107,95,49.89249446240547,35.273368606701936,16.852,102.01786306910742,38.950543921041955,Alto-medio
Matina            ,70501,3083,131,67,64,39.76115529102683,22.75132275132275,31.249,93.76147804234958,34.69342729047252,Alto-medio
Matina            ,70501,3375,33,18,15,27.914390079042526,5.467372134038801,31.738,65.11976221308133,19.925326676261903,Bajo-medio
Matina            ,70501,3596,98,53,45,27.661739087803404,16.93121693121693,24.587,69.17995601902034,22.01882383253314,Medio
Matina            ,70501,3629,65,33,32,27.541471063222872,11.11111111111111,30.037,68.68958217433399,21.765979683108792,Medio
Matina            ,70501,3916,86,38,48,42.46759248563157,14.814814814814813,18.556,75.83840730044638,25.452021726300234,Medio
Matina            ,70501,4882,146,70,76,43.82914456736384,25.396825396825395,100.0,169.22596996418923,73.60405737092202,Alto
Matina            ,70501,4978,33,13,20,24.696262601839123,5.467372134038801,55.98,86.14363473587792,30.76555240043879,Medio
Matina            ,70501,5555,51,23,28,15.322377223723358,8.641975308641975,24.729,48.69335253236533,11.455622125699895,Bajo
Matina            ,70501,6412,20,8,12,24.425056249630128,3.1746031746031744,55.324,82.9236594242333,29.105284570777247,Medio
Matina            ,70501,6757,15,7,8,27.46575997226059,2.2927689594356258,94.189,123.94752893169621,50.257810351071505,Alto
Matina            ,70501,6861,71,34,37,27.37821713123693,12.16931216931217,31.616,71.1635293005491,23.041584129852417,Medio
Matina            ,70501,7327,9,2,7,26.942488466180148,1.2345679012345678,30.592,58.76905636741471,16.650806970140778,Bajo-medio
Matina            ,70501,7614,33,16,17,25.381502361200653,5.467372134038801,56.962,87.81087449523946,31.625206363247223,Medio
Matina            ,70501,7995,96,49,47,27.25185952406769,16.57848324514991,32.209,76.0393427692176,25.555627084214738,Medio
Matina            ,70501,8043,22,14,8,28.698726494956716,3.527336860670194,92.508,124.73406335562692,50.66335936141674,Alto
Matina            ,70501,9029,5,3,2,29.407207827896087,0.5291005291005291,98.101,128.03730835699662,52.366562298852706,Alto
Matina            ,70501,9097,57,26,31,22.356281488035805,9.700176366843033,57.915,89.97145785487884,32.73923572624851,Alto-medio
Matina            ,70501,9797,25,17,8,28.703869212569643,4.056437389770723,59.081,91.84130660234037,33.70335793877494,Alto-medio
Matina            ,70501,9829,89,65,24,28.951717851480126,15.343915343915343,22.987,67.28263319539546,21.04053557201288,Medio
Matina            ,70501,10422,17,10,7,25.596282813635508,2.6455026455026456,88.479,116.72078545913816,46.53159243340168,Alto-medio
Matina            ,70501,10502,59,32,27,27.978602051661355,10.052910052910052,23.431,61.4625121045714,18.03959336699503,Bajo-medio
Matina            ,70501,11018,20,12,8,25.130894227617095,3.1746031746031744,29.163,57.468497402220265,15.980219154550547,Bajo-medio
Matina            ,70501,11675,44,26,18,32.400098076973165,7.4074074074074066,32.128,71.93550548438057,23.439626692056304,Medio
Matina            ,70501,12079,50,27,23,35.61182450547384,8.465608465608465,31.568,75.6454329710823,25.352521251922354,Medio
Matina            ,70501,12218,113,65,48,34.145277463057475,19.576719576719576,81.536,135.25799703977705,56.08965827560368,Alto
Matina            ,70501,12309,35,13,22,29.68227121845445,5.82010582010582,17.135,52.637377038560274,13.489220639126923,Bajo-medio
Matina            ,70501,12802,201,103,98,41.08746778344927,35.09700176366843,19.675,95.8594695471177,35.775183349182996,Alto-medio
Matina            ,70501,13067,109,56,53,71.8756970163445,18.871252204585538,85.532,176.27894922093003,77.24067983845767,Alto
Matina            ,70501,13124,14,8,6,30.0307623257524,2.1164021164021163,13.388,45.53516444215451,9.827212719194494,Bajo
Matina            ,70501,13387,150,81,69,43.232340360693904,26.102292768959433,98.794,168.12863312965334,73.03825395059951,Alto
Matina            ,70501,13521,47,23,24,23.960710005705003,7.936507936507936,28.926,60.823217942212935,17.709963655979617,Bajo-medio
Matina            ,70501,14139,20,11,9,33.40945573257585,3.1746031746031744,28.562,65.14605890717903,19.93888564830711,Bajo-medio
Matina            ,70501,14850,284,143,141,54.782282218973045,49.735449735449734,26.268,130.78573195442277,53.783690953407095,Alto
Matina            ,70501,15541,89,48,41,30.81001809194109,15.343915343915343,50.401,96.55493343585644,36.13377501819008,Alto-medio
Matina            ,70501,16124,47,26,21,25.351462924979778,7.936507936507936,29.932,63.21997086148771,18.945765605494216,Bajo-medio
Matina            ,70501,16202,38,16,22,24.94568440103752,6.349206349206349,32.194,63.48889075024387,19.08442475559496,Bajo-medio
Matina            ,70501,16337,70,39,31,13.932505858848979,11.992945326278658,29.441,55.36645118512763,14.896372425018281,Bajo-medio
Matina            ,70501,16764,369,184,185,78.98473962484081,64.72663139329806,68.795,212.5063710181389,95.92008484630689,Alto
Matina            ,70501,17279,88,50,38,34.57627681908931,15.167548500881834,89.595,139.33882531997114,58.19379487797992,Alto
Matina            ,70501,17317,43,23,20,27.24714983048817,7.231040564373897,24.336,58.81419039486207,16.674078755338297,Bajo-medio
Matina            ,70501,17564,70,37,33,24.105898532671112,11.992945326278658,28.67,64.76884385894977,19.744387880832182,Bajo-medio
Matina            ,70501,17984,15,7,8,24.319630540520688,2.2927689594356258,92.181,118.79339949995631,47.6002634889936,Alto-medio
Matina            ,70501,18226,50,20,30,27.995387879630268,8.465608465608465,30.026,66.48699634523874,20.63029321343599,Bajo-medio
Matina            ,70501,18395,74,41,33,23.71604007085887,12.698412698412698,73.262,109.67645276927158,42.89942826614129,Alto-medio
Matina            ,70501,18874,36,25,11,31.246943020479616,5.996472663139329,53.315,90.55841568361895,33.04188003438994,Alto-medio
Matina            ,70501,19057,36,18,18,30.944808367005855,5.996472663139329,43.902,80.84328103014519,28.03261009754866,Medio
Matina            ,70501,19124,69,41,28,30.897516285551248,11.816578483245149,56.336,99.0500947687964,37.4203178298428,Alto-medio
Matina            ,70501,19347,73,40,33,30.50558469804728,12.522045855379188,24.912,67.93963055342647,21.379293317690873,Medio
