DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Jacó             ,61101,54,112,51,61,24.76891344426984,17.1875,56.818,98.77441344426984,33.31418047741072,Medio
Jacó             ,61101,101,58,30,28,10.67460031775074,8.75,23.109,42.53360031775074,8.148433010640286,Bajo
Jacó             ,61101,213,56,28,28,9.04790012586487,8.4375,37.342,54.82740012586487,13.649467653970301,Bajo-medio
Jacó             ,61101,402,156,90,66,21.69766624953925,24.0625,72.362,118.12216624953925,41.97160618090437,Alto-medio
Jacó             ,61101,458,59,33,26,11.47038934542742,8.90625,27.058,47.43463934542742,10.34147225809633,Bajo
Jacó             ,61101,640,7,6,1,22.784827512842355,0.78125,21.261,44.82707751284235,9.174681827182685,Bajo
Jacó             ,61101,658,36,13,23,14.602938225727232,5.3125,75.28,95.19543822572723,31.712717384459754,Medio
Jacó             ,61101,821,93,49,44,31.094271094376257,14.21875,36.64,81.95302109437625,25.787210499850467,Medio
Jacó             ,61101,977,32,12,20,15.996645424177439,4.6875,36.845,57.529145424177436,14.858401809028035,Bajo-medio
Jacó             ,61101,1041,45,25,20,15.39644483089492,6.71875,72.647,94.76219483089493,31.518856498389898,Medio
Jacó             ,61101,1314,23,10,13,21.808921998462974,3.28125,71.56,96.65017199846298,32.363658591047454,Medio
Jacó             ,61101,1830,25,10,15,22.60362615043901,3.5937499999999996,56.783,82.98037615043901,26.246915053577734,Medio
Jacó             ,61101,1925,83,39,44,11.161435870469399,12.65625,65.299,89.11668587046941,28.992693647581707,Medio
Jacó             ,61101,2317,41,21,20,14.577749538641676,6.09375,74.054,94.72549953864169,31.50243667074646,Medio
Jacó             ,61101,2567,22,12,10,22.162123430362442,3.125,73.591,98.87812343036244,33.36058697786293,Medio
Jacó             ,61101,2978,64,14,50,12.09818145080755,9.6875,35.531,57.31668145080755,14.76333179843653,Bajo-medio
Jacó             ,61101,3399,48,22,26,17.366824024932185,7.187499999999999,56.525,81.07932402493219,25.396262386020314,Medio
Jacó             ,61101,3433,642,311,331,100.0,100.0,37.641,237.641,95.4519991638565,Alto
Jacó             ,61101,3834,36,17,19,16.10946447486751,5.3125,69.367,90.78896447486751,29.740978366682292,Medio
Jacó             ,61101,4053,12,6,6,18.169273876425944,1.5625,41.255,60.98677387642594,16.40556657471982,Bajo-medio
