DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Puerto Cortés     ,60501,222,44,24,20,20.081661494278926,11.081794195250659,25.216,56.379455689529586,17.208003145079807,Medio
Puerto Cortés     ,60501,685,18,8,10,11.829851715338478,4.221635883905013,25.148,41.19948759924349,8.973599768133635,Bajo-medio
Puerto Cortés     ,60501,815,62,29,33,10.937672740126068,15.8311345646438,20.791,47.55980730476987,12.423767630815659,Bajo-medio
Puerto Cortés     ,60501,837,69,33,36,19.58812895659055,17.678100263852244,24.014,61.28022922044279,19.866437331013564,Medio
Puerto Cortés     ,60501,1739,11,6,5,27.126928550126323,2.3746701846965697,12.784,42.28559873482289,9.562762877658018,Bajo-medio
Puerto Cortés     ,60501,2180,17,10,7,21.54181797115976,3.95778364116095,13.601,39.10060161232071,7.835054959887189,Bajo
Puerto Cortés     ,60501,2388,43,24,19,23.652722963401995,10.817941952506596,21.118,55.588664915908595,16.779037143436533,Medio
Puerto Cortés     ,60501,2593,104,49,55,26.75234133200109,26.912928759894463,25.878,79.54327009189555,29.77325956744702,Alto-medio
Puerto Cortés     ,60501,2932,78,44,34,25.140015737685967,20.052770448548813,23.768,68.96078618623478,24.03277047741961,Medio
Puerto Cortés     ,60501,3133,42,22,20,23.976686676363883,10.554089709762533,25.749,60.279776386126414,19.32373973452508,Medio
Puerto Cortés     ,60501,3232,137,72,65,32.79938512007794,35.62005277044855,24.67,93.0894378905265,37.12140478107928,Alto-medio
Puerto Cortés     ,60501,4398,21,11,10,21.705167340539905,5.013192612137203,20.721,47.43935995267711,12.358430729122729,Bajo-medio
Puerto Cortés     ,60501,4816,64,29,35,5.2997728876125025,16.358839050131927,20.759,42.417611937744425,9.634373697751517,Bajo-medio
Puerto Cortés     ,60501,5165,30,28,2,13.762855723850937,7.387862796833773,8.063,29.213718520684708,2.471895891763934,Bajo
Puerto Cortés     ,60501,5366,47,27,20,33.44067335718675,11.87335092348285,6.966,52.2800242806696,14.984258560380903,Medio
Puerto Cortés     ,60501,5434,36,15,21,20.4905856625585,8.970976253298153,25.307,54.76856191585665,16.334170667241974,Medio
Puerto Cortés     ,60501,5602,51,25,26,16.322507371186795,12.928759894459102,21.098,50.34926726564589,13.936915641738834,Bajo-medio
Puerto Cortés     ,60501,6394,57,35,22,31.529404383476827,14.511873350923482,15.498,61.53927773440031,20.006958704012348,Medio
Puerto Cortés     ,60501,7854,261,121,140,62.98005437713131,68.33773087071239,24.001,155.3187852478437,70.87783595250947,Alto
Puerto Cortés     ,60501,7864,84,41,43,21.589145457759543,21.63588390501319,21.137,64.36202936277273,21.538165845075056,Medio
Puerto Cortés     ,60501,8616,77,44,33,18.801907094778027,19.788918205804748,11.445,50.03582530058278,13.766888434814467,Bajo-medio
Puerto Cortés     ,60501,9523,21,8,13,9.831236933937703,5.013192612137203,25.977,40.82142954607491,8.768521437851428,Bajo-medio
Puerto Cortés     ,60501,10058,9,6,3,15.853475823065269,1.8469656992084433,26.161,43.861441522273715,10.41758187947298,Bajo-medio
Puerto Cortés     ,60501,11082,50,28,22,30.30853560203649,12.66490765171504,10.448,53.42144325375153,15.603423514520088,Medio
Puerto Cortés     ,60501,11815,17,8,9,14.985873138306353,3.95778364116095,25.868,44.8116567794673,10.933028004005193,Bajo-medio
Puerto Cortés     ,60501,12410,29,15,14,10.922853791930097,7.12401055408971,8.88,26.926864346019805,1.2313873724809252,Bajo
Puerto Cortés     ,60501,12601,95,50,45,31.27848119970261,24.538258575197887,24.421,80.23773977490049,30.149976005117402,Alto-medio
Puerto Cortés     ,60501,12781,381,176,205,86.73194813350639,100.0,22.273,209.0049481335064,100.0,Alto
Puerto Cortés     ,60501,12973,21,8,13,3.0942899368031727,5.013192612137203,25.118,33.22548254894038,4.648085134409244,Bajo
Puerto Cortés     ,60501,13092,28,10,18,10.608838733020738,6.860158311345646,25.968,43.43699704436638,10.187341142376644,Bajo-medio
Puerto Cortés     ,60501,13099,16,10,6,19.596376116524272,3.6939313984168867,26.14,49.43030751494116,13.438424127825643,Bajo-medio
Puerto Cortés     ,60501,13517,42,19,23,21.539767963357033,10.554089709762533,9.364,41.45785767311956,9.113753119983459,Bajo-medio
Puerto Cortés     ,60501,13560,14,6,8,12.48358393234557,3.16622691292876,26.111,41.760810845274335,9.278090660682519,Bajo-medio
Puerto Cortés     ,60501,14138,125,59,66,34.740897711628016,32.45382585751979,21.383,88.5777235691478,34.6740165242126,Alto-medio
Puerto Cortés     ,60501,14241,22,6,16,18.586366370204544,5.277044854881266,11.379,35.24241122508581,5.742172039146507,Bajo
Puerto Cortés     ,60501,15243,35,20,15,18.97546974984141,8.70712401055409,26.039,53.7215937603955,15.766240743831842,Medio
Puerto Cortés     ,60501,15305,23,13,10,24.28463860877034,5.540897097625329,22.596,52.42153570639567,15.061021710009717,Medio
Puerto Cortés     ,60501,15362,66,40,26,15.70290776169003,16.886543535620053,12.538,45.12745129731009,11.104331357785611,Bajo-medio
Puerto Cortés     ,60501,15758,14,7,7,15.001876775690834,3.16622691292876,23.216,41.3841036886196,9.073745126856094,Bajo-medio
Puerto Cortés     ,60501,15760,82,36,46,12.29831756280942,21.108179419525065,21.025,54.43149698233449,16.151329134879255,Medio
Puerto Cortés     ,60501,16011,20,10,10,11.364373767862176,4.749340369393139,23.693,39.80671413725531,8.218087079931383,Bajo
